ACCESSIONNUMBER	SIGNATURE_SEQ_KEY	ISSUERNAME	SIGNATURENAME	NAMEOFSIGNER	SIGNATURETITLE	SIGNATUREDATE
0002087347-25-000001	101	MBM Capital Partners-NestEggRx-Baden Portfolio LLC	Michelle Casillas	Michelle Casillas	By POA from Ryan Andrew Gaines, Manager	2025-09-30
0002085469-25-000001	101	Pharsalus Capital SPV I, LP	/s/ Anthony Ghosn Bichara	Anthony Ghosn Bichara	Manager of the General Partner of the Issuer	2025-09-30
0002088646-25-000001	101	Access Custom Hedge Fund Solutions Series, a series of Riverview Multi-Client Solutions (Cayman) LP	CHRISTOPHER AUFFENBERG	CHRISTOPHER AUFFENBERG	OFFICER OF THE GP OF THE INVESTMENT ADVISER OF THE ISSUER	2025-09-30
0001683168-25-007340	101	GFG Puntamar, LLC	/s/ Eduardo Gruener	Eduardo Gruener	Manager of GFG Investments, LLC, Manager of Issuer	2025-09-30
0001845947-25-000004	101	Verdata, Inc.	/s/ Mike Mondelli	Mike Mondelli	Chief Executive Officer	2025-09-30
0002088926-25-000001	101	Exp Eq Kudo Income LLC	Michelle Casillas	Michelle Casillas	By POA from Anthony Dylan Reach, Manager	2025-09-30
0002075357-25-000001	101	Cottonwood Riverfront DST	/s/ Gregg Christensen	Gregg Christensen	Chief Legal Officer of sole member of Issuer's Manager	2025-09-30
0001231919-25-000263	101	Blossom BH OpCo Inc.	/s/ John Zhao	John Zhao	Chief Executive Officer	2025-09-30
0002087910-25-000001	101	Gaingels OPT Industries LLC	/s/ Paul Grossinger	Paul Grossinger	Manager Gaingels Management LLC, Manager	2025-09-30
0002089305-25-000001	101	Harlow & Hem Apartments LLC	Barry R. Mandel	Barry R. Mandel	Manager of the Manager of the Manager of the Issuer	2025-09-30
0002087250-25-000001	101	Jacksonville Kingdom Multi-family LLC	Michelle Casillas	Michelle Casillas	By POA from Evan Frazier, Manager	2025-09-30
0002089294-25-000001	101	200 King LLC	Lindsey W Cooper Jr	Lindsey W Cooper Jr	Manager	2025-09-30
0001012975-25-000588	101	Varde CRE Lending Fund (Offshore), L.P.	/s/ Richard Strohmenger	Richard Strohmenger	Managing Director of Varde Partners, Inc.	2025-09-30
0001315863-25-000689	101	AE EventsCo Holdings LLC	/s/ Benjamin Louis Enowitz	Benjamin Louis Enowitz	Authorized Signatory	2025-09-30
0002085971-25-000001	101	PAI Strategic Partnerships II SCSp	Marc Boulestiex	Marc Boulestiex	Manager	2025-09-30
0002089259-25-000001	101	NORD BLA FUND IV ACCESS, LLC	LEIF GUNDERSON	LEIF GUNDERSON	MANAGING DIRECTOR OF MANAGING MEMBER OF ISSUER	2025-09-30
0002068047-25-000004	101	CNW Capital Fund LLC	Calvin Williams	Calvin Neil Williams	Director	2025-09-30
0002086725-25-000001	101	Gaingels Odin Space LLC	/s/ Paul Grossinger	Paul Grossinger	Manager Gaingels Management LLC, Manager	2025-09-30
0002084537-25-000001	101	Aboite Senior Investors, LLC	/s/ Thomas C. Smith	Thomas C. Smith	Manager of the Issuer's Manager	2025-09-30
0002088194-25-000001	101	Augment Markets, Inc.	Robert Ruelas	Robert Ruelas	Head of Finance	2025-09-25
0002086166-25-000001	101	Qubit Coinvestment, L.P.	LAUREN MICHELLE SALKELD	LAUREN MICHELLE SALKELD	DIRECTOR OF THE GENERAL PARTNER	2025-09-30
0002089346-25-000001	101	NAL REP Holdings, LLC	Stewart Whitfield Edwards	Stewart Whitfield Edwards	President	2025-09-30
0002089398-25-000001	101	Mention Platforms, Inc.	/s/ Jeenu Lee	Jeenu Lee	Chief Executive Officer	2025-09-30
0001986161-25-000002	101	EM Notes, LLC	/s/ Charles Clinton	Charles Clinton	Chief Executive Officer of the Manager of the Issuer	2025-09-29
0002088153-25-000001	101	PC St. Cloud JV, LLC	/s/ Jeffrey Danley	Jeffrey Danley	Manager of the Manager	2025-09-30
0001990933-25-000002	101	Paradice International Opportunities Fund, L.P.	/s/ Aoife Kemp	Aoife Kemp	Chief Compliance Officer	2025-09-30
0002087813-25-000001	101	Pixion Batteries Inc.	/s/ Vikram Devaraj	Vikram Devaraj	Corporate Secretary	2025-09-30
0001990777-25-000002	101	Paradice Global Opportunities Fund, L.P.	/s/ Aoife Kemp	Aoife Kemp	Chief Compliance Officer	2025-09-30
0002037873-25-000002	101	Akari Brands Inc.	Luke Carstens	Luke Carstens	Officer	2025-09-30
0002039258-25-000002	101	Treasure Coast Ventures Fund I, LP	Robert Padulo	Robert Padulo	Managing Partner of the Manager of the General Partner	2025-09-30
0002084788-25-000001	101	MAX SPACE II A SERIES OF VUVP FUND LLC	Melissa Garlough	Melissa Garlough	Officer of the Issuer's Manager	2025-09-30
0001952031-25-000002	101	Tesserakt Ventures Fund I, LP	Daniel Emilio Sabzehzar	Daniel Emilio Sabzehzar	Managing Partner of the Manager of the General Partner	2025-09-30
0002089076-25-000001	101	CC Plumbing Holdings, LLC	/s/ Brian F. Carroll	Brian F. Carroll	Manager	2025-09-30
0001753174-25-000006	101	RCG ALPHA LONG SHORT FUND, LP	Khadir N Richie	Khadir N. Richie	Managing Member	2025-09-30
0002088747-25-000001	101	Viking Global Opportunities Vintage IV (Offshore) LP	/s/ Scott M. Hendler	Scott M. Hendler	Deputy General Counsel of the General Partner of the Issuer	2025-09-30
0002089407-25-000001	101	Apostolic Church of God-Childersburg	James Marshall	James Marshall	POA from Elisha Lawler, Chief of Ministries	2025-09-30
0000929638-25-003687	101	PGIF V USD Feeder (Luxembourg) SCSp	/s/ Monique Bachner-Bout	Monique Bachner-Bout	Manager of the GP	2025-09-26
0001749418-25-000002	101	Axenic Health Solutions, Inc.	Cody A Phillips	Cody A Phillips	Attorney	2025-09-30
0002081111-25-000018	101	Tantauco II Fund LP	/s/ Juan Turner	Juan Turner	Manager of the General Partner of the Issuer	2025-09-30
0002089078-25-000001	101	CC Plumbing Investment, LLC	/s/ Brian F. Carroll	Brian F. Carroll	Manager of the Manager of the Issuer	2025-09-30
0002088644-25-000001	101	WMA US Large Cap Enhanced Equity Offshore Fund, Ltd.	Mark Meskin	Mark Meskin	Authorized Signatory	2025-09-30
0000950142-25-002573	101	Palladium Equity Partners VI, L.P.	/s/ Nancy Mitchell	Nancy Mitchell	CAO, CLO & CCO	2025-09-30
0002088740-25-000001	101	Viking Global Opportunities Vintage IV (Onshore) LP	/s/ Scott M. Hendler	Scott M. Hendler	Deputy General Counsel of the General Partner of the Issuer	2025-09-30
0002087085-25-000001	101	Gaingels Slingshot Aerospace LLC	/s/ Paul Grossinger	Paul Grossinger	Manager Gaingels Management LLC, Manager	2025-09-30
0002088645-25-000001	101	WMA US Large Cap Enhanced Equity Onshore Fund LP	Mark Meskin	Mark Meskin	Authorized Signatory	2025-09-30
0002088900-25-000001	101	Stuart Shaw Family Partnership LP	/s/ Stuart B Shaw	Stuart B. Shaw	Manager of GP of Issuer	2025-09-30
0000905148-25-003451	101	SSO II E&F, LLC	R. Patterson Jackson	R. Patterson Jackson	Chief Investment Officer of the Managing Member	2025-09-30
0001437749-25-030097	101	Orange County Bancorp, Inc. /DE/	/s/ Michael Lesler	Michael Lesler	EVP and CFO	2025-09-30
0002038296-25-000003	101	ARKVIEW CAPITAL CO-INVEST III LP	Joon Chang	Joon Chang	Authorized Signatory	2025-09-30
0000905148-25-003450	101	SDOF III E&F, LLC	R. Patterson Jackson	R. Patterson Jackson	Chief Investment Officer of the Managing Member	2025-09-30
0002084076-25-000001	101	Proven Proteins Inc.	/s/ Chad Meinders	Chad Meinders	President	2025-09-30
0002089385-25-000001	101	Harmoney SnowBall LP	/s/ Vishal Karir	Vishal Karir	Manager of the General Partner, Harmoney Capital LLC	2025-09-30
0001992500-25-000005	101	Lion Rock Resources Inc.	/s/ Carrie Cesarone	Carrie Cesarone	Corporate Secretary	2025-09-30
0002087736-25-000001	101	Wingra Capital Fund, LLC - Series G Units	Curtis Burgess	Curtis Burgess	On Behalf of Wingra Capital Fund, LLC	2025-09-30
0000905148-25-003449	101	SSO (Parallel) II E&F, LLC	R. Patterson Jackson	R. Patterson Jackson	Chief Investment Officer of the Managing Member	2025-09-30
0002089389-25-000001	101	Redwood Perrysburg Lime City Road OH P1 LLC	/s/ Stephen Bittence	Stephen Bittence	By POA from David Conwill, Manager of Issuer	2025-09-30
0001315863-25-000688	101	Occudo Beacon Cayman Fund Ltd.	/s/ Ricky Xiaoxiao Shi	Ricky Xiaoxiao Shi	Director	2025-09-30
0000919574-25-005898	101	AgentSmyth Inc.	/s/ Pulkit Jaiswal	Pulkit Jaiswal	Chief Executive Officer	2025-09-30
0002076514-25-000001	101	Landwise Fund I, LLC	/s/Daniel Roberts	Daniel Roberts	Chief Compliance Officer	2025-09-30
0001315863-25-000687	101	Occudo Beacon US Fund LP	/s/ Ricky Xiaoxiao Shi	Ricky Xiaoxiao Shi	Authorized Signatory	2025-09-30
0000919574-25-005896	101	AgentSmyth Inc.	/s/ Pulkit Jaiswal	Pulkit Jaiswal	Chief Executive Officer	2025-09-30
0002080562-25-000001	101	Power Grid Enterprises, Inc.	Tom Skelly	Tom Skelly	By POA from Deon Wright, President	2025-09-30
0001913442-25-000002	101	Azak, Inc.	/s/ Benjamin Meager	Benjamin Meager	CEO	2025-09-30
0001979660-25-000003	101	Tethon Corp	Trent Allen	Trent Allen	CEO	2025-09-30
0002088901-25-000001	101	Bo Tree Total Return Fund, LP	Raj Shekhar	Raj Shekhar	Managing Member	2025-09-30
0002086959-25-000001	101	First Eagle Senior Debt Fund LP	William Karim	William Karim	Deputy General Counsel of the General Partner of the Issuer	2025-09-30
0002087575-25-000002	101	PCIP I BE Coinvest, LP	/s/ Timothy P. Berry	Timothy P. Berry	Authorized Person of the General Partner of the Issuer	2025-09-30
0002082643-25-000001	101	Salem Shout 2025 Investors, LLC	Stephen Prough	Stephen Prough	Manager	2025-09-30
0002088235-25-000001	101	OCM PW Lambda LLC	Ari Schottenstein	Ari Schottenstein	President	2025-09-30
0002080830-25-000001	101	97 CROSS A SERIES OF VUCP FUND LLC	Melissa Garlough	Melissa Garlough	Officer of the Issuer's Manager	2025-09-30
0002088871-25-000001	101	SPRE Rosemary, LLC	/s/ Jesse Wilson	Jesse Wilson	Authorized Person	2025-09-30
0001792606-25-000003	101	DRS Holdings I, Inc.	/s/ TAD S. YANAGI	Tad S. Yanagi	Vice President and Secretary	2025-09-30
0002087935-25-000002	101	ARCANE ASSETS GROUP LLC	Jacob McKinney	Jacob McKinney	Chief Operating Officer	2025-09-15
0001724977-25-000010	101	OPEN DOORS PARTNERS, LLC	Pramod Dabir	Pramod Dabir	CEO	2025-09-30
0001800310-25-000002	101	Radwave Technologies Inc.	/s/ Andrew Brown	Andrew Brown	CEO	2025-09-30
0001742577-25-000006	101	AdaptX, Inc.	/s/ Daniel Low	Daniel Low	Interim Chief Executive Officer	2025-09-30
0002039242-25-000002	101	ABR Chesapeake Investors VII Limited Partnership	/s/ David Wolfe	David Wolfe	Managing Director of the Manager of the General Partner	2025-09-30
0001742577-25-000005	101	AdaptX, Inc.	/s/ Daniel Low	Daniel Low	Interim Chief Executive Officer	2025-09-30
0000905148-25-003448	101	M.D. Sass Government Agency Portable Alpha, L.P.	Bobby Liu	Bobby Liu	General Counsel of the Investment Manager	2025-09-30
0002089383-25-000001	101	Kasama Select Growth Fund LP	Shari Wynne Ressler	Shari Wynne Ressler	Manager of Kasama Growth Fund Manager LLC, its manager	2025-09-22
0002084179-25-000001	101	H. Barton Rise Fund, LLC	/s/Harris Barton	Harris Barton	Managing Member of the Managing Member of the Issuer	2025-09-30
0002040453-25-000007	101	SECURE NET CAPITAL LLC	/s/ Alois Rubenbauer	Alois Rubenbauer	Managing Member of the Manager	2025-09-30
0002078258-25-000001	101	Develop Health Inc.	/s/ Mel van Londen	Mel van Londen	Chief Executive Officer	2025-09-30
0000905148-25-003447	101	Napier Park Eton Fund Global Feeder Ltd	Jeffrey Traum	Jeffrey Traum	Senior Managing Director of the Investment Manager	2025-09-30
0002088118-25-000002	101	Sentry Mineral Holdings III, LP	/s/ Steve Foerster	Steve Foerster	President of General Partner	2025-09-30
0002089394-25-000001	101	VC Bend TIC 1 LLC	Robert Kantor	Robert Kantor	Manager	2025-09-30
0002086709-25-000001	101	Comma Capital Fund III, LP	Adarsh Santosh Bhatt	Adarsh Santosh Bhatt	Managing Director of the General Partner of the Issuer	2025-09-30
0002088203-25-000001	101	Strategic Growth Opportunities, LLC, Series IX	/s/ Christopher Norton	Christopher Norton	Managing Member of the Manager	2025-09-30
0002087580-25-000001	101	Revenant Radar 2025, L.P.	Ryan Moore	Ryan Moore	Managing Member of the GP of the GP of the Issuer	2025-09-30
0002039664-25-000006	101	Vested 2024 Summer Opportunity Fund, LP	Peter Ostrovski	Peter Ostrovski	Authorized Representative of the General Partner	2025-09-30
0001449184-25-000002	101	ARTHEDGE CAPITAL PARTNERS LP	/s/ Samir Gupta	Samir Gupta	Managing Member of the General Partner	2025-09-30
0000950172-25-000184	101	Neuberger PSG PRIMA IX LP	/s/ Scott Featherman	Scott Featherman	Assistant Secretary and Senior Vice President	2025-09-30
0000919574-25-005894	101	Coatue Qualified Partners II LP	/s/ Philippe Laffont	Philippe Laffont	Managing Member of the General Partner	2025-09-30
0002084949-25-000001	101	Kate Blackstone LLC	ngoctuyenlu	Ngoc-Tuyen Lu	Founder/Fund Mgr	2025-09-09
0000905148-25-003446	101	Man Funds XI SPC, on behalf of & for the account of Man AHL TargetRisk (Cayman) SP	Tim Sweeting	Tim Sweeting	Director of the Issuer	2025-09-30
0002084177-25-000001	101	H. Barton Venture Select VI, LLC	/s/Harris Barton	Harris Barton	Managing Member of the Managing Member of the Issuer	2025-09-30
0000905148-25-003445	101	Crescent Rock US Fund, LP	Michael Marone	Michael Marone	Authorized Signatory	2025-09-30
0001013594-25-001173	101	HighCrown Fund, LP	/s/ Valery William Samedy	Valery William Samedy	Principal of the General Partner	2025-09-30
0001983534-25-000002	101	Broadcrest Committed Capital Fund II, L.P.	/s/ John O. Burden	John O. Burden	Managing Member of General Partner	2025-09-29
0000905148-25-003444	101	Crossbow Therapeutics, Inc.	Briggs Morrison	Briggs Morrison	Chief Executive Officer	2025-09-30
0002088037-25-000001	101	PWA Gateway Blocker, LLC	Martin Mazorra	Martin Mazorra	Manager	2025-09-30
0000950103-25-012528	101	PSG LM Sequel L.P.	/s/ Aaron W. Fine	Aaron W. Fine	GC and CCO of sole member of GP of Issuer's GP	2025-09-30
0002064231-25-000001	101	CPEP Feeder, L.P.	/s/ Jeremy W. Anderson	Jeremy W. Anderson	Authorized Person	2025-09-30
0001705589-25-000003	101	Broadcrest, LP	/s/ John O. Burden	John O. Burden	Manager of Broadcrest Asset Management, LLC	2025-09-29
0002088435-25-000001	101	BridgeWell Secured Income LP	Carolyn Gonzales	Carolyn Gonzales	Attorney in Fact	2025-09-30
0001947019-25-000002	101	Camini Capital Partners, LP	/s/ Carleton William Gibson	Carleton William Gibson	Manager of General Partner	2025-09-30
0001213900-25-093638	101	Worldwide Opportunity Fund (Cayman) Ltd.	/s/ Howard Golden	Howard Golden	Director	2025-09-30
0002065337-25-000011	101	Carlyle Private Equity Partners Fund, L.P.	/s/ Jeremy W. Anderson	Jeremy W. Anderson	Authorized Person	2025-09-30
0000935836-25-000615	101	Akahi Fund L P	Anthony R. Sellitto, III	Anthony R. Sellitto, III	Manager of Akahi Capital Management, LLC, General Partner	2025-09-30
0002034692-25-000007	101	Brightpave Markers Inc.	Peter A. Shaw	Peter A. Shaw	Chief Executive Officer	2025-09-30
0002078772-25-000001	101	Natural Capital Drake Farms Fund, L.P.	Bradley Thomas Henry	Bradley Thomas Henry	Manager of the General Partner	2025-09-30
0002062802-25-000002	101	Oaktree Special Situations Fund IV, L.P.	Ting He	Ting He	Senior VP of the Investment Manager of the Issuer	2025-09-30
0000935836-25-000614	101	QST Tactical Edge LP	Kyle T. Shealer	Kyle T. Shealer	Manager of QST Capital Partners LLC, General Partner	2025-09-30
0002084477-25-000001	101	Seapoint Management, LP	Evan Buntman	Evan Buntman	Chief Executive Officer	2025-09-30
0002062800-25-000002	101	Oaktree Special Situations Fund IV Feeder (Parallel), L.P.	Ting He	Ting He	Senior VP of the Investment Manager of the Issuer	2025-09-30
0002037281-25-000002	101	Canyon Evergreen Private Credit Cayman Fund, L.P.	/s/ Jonathan M. Kaplan	Jonathan M. Kaplan	Chief Operating Officer of Canyon Partners, LLC	2025-09-30
0002085806-25-000001	101	Oaktree Special Situations Fund IV Feeder (DE), L.P.	Ting He	Ting He	Senior VP of the Investment Manager of the Issuer	2025-09-30
0002037280-25-000002	101	Canyon Evergreen Private Credit Delaware Fund, L.P.	/s/ Jonathan M. Kaplan	Jonathan M. Kaplan	Chief Operating Officer of Canyon Partners, LLC	2025-09-30
0002062815-25-000002	101	Oaktree Special Situations Fund IV (Parallel), L.P.	Ting He	Ting He	Senior VP of the Investment Manger of the Issuer	2025-09-30
0000902664-25-004232	101	EleganTree Opportunities Fund III Ltd	/s/ Gary Linford	Gary Linford	Director	2025-09-30
0001470831-25-000241	101	S3 Ventures Fund VIII, L.P.	/S/ BRIAN R. SMITH	BRIAN R. SMITH	MANAGING DIRECTOR OF THE GP OF THE GP OF THE ISSUER	2025-09-11
0002016447-25-000002	101	Sands Capital Global Venture Fund II-PA, L.P.	JONATHAN GOODMAN	JONATHAN GOODMAN	GENERAL COUNSEL OF THE GP OF THE GP OF THE ISSUER	2025-09-30
0002087233-25-000001	101	1624 Offshore Fund, Ltd.	/s/ Christopher Robertson	Christopher Robertson	Director	2025-09-29
0002086443-25-000001	101	UND Property Owner R LLC	/s/ Stephen M. Gordon	Stephen M. Gordon	Manager	2025-09-30
0002088429-25-000001	101	Fairfield VAMF IV Holdings IV LLC	/s/ Jenna Woods	Jenna Woods	Executive Vice President of the Manager of the Issuer	2025-09-30
0000905148-25-003443	101	Aegeri Capital Offshore Fund Ltd.	Lawrence Danter	Lawrence Danter	Director of the Issuer	2025-09-30
0000905148-25-003442	101	Cadian Opportunities Offshore Fund, Ltd.	Derek Justin Griffith	Derek Justin Griffith	GC and COO of the Investment Manager and Director of Issuer	2025-09-30
0001989287-25-000002	101	iCapital-Clearlake Capital Partners VIII (Offshore) Access Fund, L.P.	Michael Stanton	Michael Stanton	Authorized Signatory of the General Partner	2025-09-30
0002080251-25-000001	101	INVENTIA II A SERIES OF VUVP FUND	Melissa Garlough	Melissa Garlough	Officer of the Issuer's Manager	2025-09-30
0001988807-25-000002	101	iCapital-Clearlake Capital Partners VIII Access Fund, L.P.	Michael Stanton	Michael Stanton	Authorized Signatory of the General Partner	2025-09-30
0001948136-25-000004	101	Palm LT Fund LP	/s/ Walter W. Chernoch	Walter W. Chernoch	Managing Member of the Issuer's General Partner	2025-09-30
0002073551-25-000001	101	Park16 LLC	Joseph Echols	Joseph Echols	Principal of Manager	2025-09-30
0000905148-25-003441	101	Aegeri Capital Fund LP	Lawrence Danter	Lawrence Danter	Director of the General Partner of the Issuer	2025-09-30
0002026759-25-000002	101	Next Realty Fund XI, LP	Andrew Hochberg	Andrew Hochberg	Manager Next Realty Fund XI GP, LLC, General Partner	2025-09-29
0000905148-25-003440	101	Cadian Opportunities Fund LP	Derek Justin Griffith	Derek Justin Griffith	General Counsel and COO of the Investment Manager	2025-09-30
0002086246-25-000001	101	Vintage Preservation Fund, LLC	Stephen D. Miles	Stephen D. Miles	Principal of the Manager	2025-09-30
0002058802-25-000014	101	Origin Nashville Queens, DST	/s/Michael McVickar	Michael McVickar	General Counsel & Secretary	2025-09-30
0002087692-25-000001	101	Antigone Development Ltd Liability Co	Jennifer Steingart	Jennifer Steingart	The Manager of a Manager of the Issuer	2025-09-30
0002086433-25-000001	101	NX Westfield MOB Holding LLC	/s/ Stephen M. Gordon	Stephen M. Gordon	Manager	2025-09-30
0002088913-25-000001	101	Stillcore Capital Fund I, LP	Robert Greer	Robert Greer	Managing Member	2025-09-29
0002031465-25-000003	101	405 SSTV III LLC	Chris Scarlata	Chris Scarlata	COO and CFO of the Issuer's Investment Manager	2025-09-30
0002080255-25-000003	101	STAR CATCHER A SERIES OF VUVP FUND LLC	Melissa Garlough	Melissa Garlough	Officer of the Issuer's Manager	2025-09-30
0002087795-25-000001	101	W&CC SPV LLC	/s/ Karissa Reiling	Karissa Reiling	Manager of its Manager, Connection Capital LLC	2025-09-30
0002081111-25-000016	101	Oberweis International Select Fund, LLC	/s/ James W. Oberweis	James W. Oberweis	President of the Manager of the Issuer	2025-09-30
0002087687-25-000001	101	Comanche&CC SPV LLC	/s/ Karissa Reiling	Karissa Reiling	Manager of its Manager, Connection Capital LLC	2025-09-30
0001321086-25-000006	101	CMWA Capital Appreciation Fund LLC	Neal B. Colby	Neal B. Colby	Chief Compliance Officer	2025-09-30
0002087657-25-000001	101	Novacap International TMT VI Co-Investment (Igloo), L.P.	Josiane Turcotte	Josiane Turcotte	Authorized Signatory	2025-09-30
0001945072-25-000002	101	PineStone Global Equity Fund LLC	David Doumani	David Doumani	Chief Compliance Officer	2025-09-30
0000902664-25-004231	101	Polymer Japan Equity (US) Fund Ltd.	/s/ Angus Wai	Angus Wai	Director	2025-09-30
0002086858-25-000002	101	Tropogenix, Inc.	Paul Castella	Paul Castella	President & CEO	2025-09-30
0000902664-25-004230	101	Polymer Japan Equity (Cayman) Fund Ltd.	/s/ Angus Wai	Angus Wai	Director	2025-09-30
0001654954-25-011223	101	TSO Big Red 3 Well RW Joint Venture	/s/ Jeremy B. Yowell	Jeremy B. Yowell	Manager of Joint Venture Manager	2025-09-30
0002014814-25-000002	101	OPA Airspace Data SPV III LLC	Gerry Coughlin	Gerry Coughlin	Managing Partner	2025-09-30
0002085317-25-000001	101	Warrington Lin-Kra Investors LP	/s/Lev Kravinsky	Lev Kravinsky	Vice President and Treasurer of Issuer's General Partner	2025-09-30
0000898432-25-000739	101	Renerva, Inc.	/s/ Lorenzo Soletti	Lorenzo Soletti	President and Chief Executive Officer	2025-09-30
