ACCESSIONNUMBER	IS_PRIMARYISSUER_FLAG	ISSUER_SEQ_KEY	CIK	ENTITYNAME	STREET1	STREET2	CITY	STATEORCOUNTRY	STATEORCOUNTRYDESCRIPTION	ZIPCODE	ISSUERPHONENUMBER	JURISDICTIONOFINC	ISSUER_PREVIOUSNAME_1	ISSUER_PREVIOUSNAME_2	ISSUER_PREVIOUSNAME_3	EDGAR_PREVIOUSNAME_1	EDGAR_PREVIOUSNAME_2	EDGAR_PREVIOUSNAME_3	ENTITYTYPE	ENTITYTYPEOTHERDESC	YEAROFINC_TIMESPAN_CHOICE	YEAROFINC_VALUE_ENTERED
0002108351-26-000001	YES	101	0002108351	FalconX Holdings Ltd	1850 GATEWAY DR, 6TH FLOOR		SAN MATEO	CA	CALIFORNIA	94404	650-200-0698	CAYMAN ISLANDS							Other	Cayman Islands exempted limited company	overFiveYears	
0002125425-26-000001	YES	101	0002125425	Segra VA1, LP	250 ROYAL PALM WAY	SUITE 304	PALM BEACH	FL	FLORIDA	33480	3038618466	DELAWARE							Limited Partnership		withinFiveYears	2026
0001932971-26-000003	YES	101	0001932971	Stonepeak Core Fund (Lux) SCSp	55 HUDSON YARDS	550 WEST 34TH STREET, 48TH FLOOR	NEW YORK	NY	NEW YORK	10001	(212) 907-5100	LUXEMBOURG							Other	Special Limited Partnership	withinFiveYears	2022
0000950142-26-000979	YES	101	0002102080	Apollo Direct Lending Fund - Perpetual (Unlevered), L.P.	9 WEST 57TH STREET	41ST FLOOR	NEW YORK	NY	NEW YORK	10019	212-515-3200	DELAWARE							Limited Partnership		withinFiveYears	2025
0002125083-26-000001	YES	101	0002125083	8VC STSD-A, LLC	907 SOUTH CONGRESS AVENUE		AUSTIN	TX	TEXAS	78704	512-370-2276	DELAWARE							Limited Liability Company		withinFiveYears	2026
0000950142-26-000976	YES	101	0002102077	Apollo Direct Lending Fund - Perpetual (Unlevered TE), L.P.	9 WEST 57TH STREET	41ST FLOOR	NEW YORK	NY	NEW YORK	10019	212-515-3200	DELAWARE							Limited Partnership		withinFiveYears	2025
0002114245-26-000002	YES	101	0002114245	L Squared Capital Partners V-A LP	3434 VIA LIDO SUITE 300		NEWPORT BEACH	CA	CALIFORNIA	92663	9493980168	DELAWARE							Limited Partnership		withinFiveYears	2026
0000950142-26-000975	YES	101	0002102078	Apollo Direct Lending Fund - Perpetual (Unlevered Overseas), L.P.	9 WEST 57TH STREET	41ST FLOOR	NEW YORK	NY	NEW YORK	10019	212-515-3200	DELAWARE							Limited Partnership		withinFiveYears	2025
0001932972-26-000003	YES	101	0001932972	Stonepeak Core Fund (C) LP	55 HUDSON YARDS	550 WEST 34TH STREET, 48TH FLOOR	NEW YORK	NY	NEW YORK	10001	(212) 907-5100	DELAWARE							Limited Partnership		withinFiveYears	2022
0000950142-26-000973	YES	101	0002103838	Apollo Direct Lending Fund - Perpetual (Unlevered Lux), SCSp	9 WEST 57TH STREET	41ST FLOOR	NEW YORK	NY	NEW YORK	10019	212-515-3200	LUXEMBOURG							Limited Partnership		withinFiveYears	2025
0001972203-26-000003	YES	101	0001972203	Catalur Special Opportunities Fund III, LP	ONE GRAND CENTRAL PLACE	SUITE 1103	NEW YORK	NY	NEW YORK	10165	212 377-7410	DELAWARE							Limited Partnership		withinFiveYears	2021
0000950142-26-000971	YES	101	0002102083	Apollo Direct Lending Fund - Perpetual (Levered), L.P.	9 WEST 57TH STREET	41ST FLOOR	NEW YORK	NY	NEW YORK	10019	212-515-3200	DELAWARE							Limited Partnership		withinFiveYears	2025
0002114584-26-000001	YES	101	0002114584	DMMS Purchaser, Inc.	201 ST. CHARLES AVENUE, SUITE 5100	ATTN EDWARD B. CROSLAND	NEW ORLEANS	LA	LOUISIANA	70170	202-203-1088	LOUISIANA							Corporation		withinFiveYears	2025
0002092619-26-000001	YES	101	0002092619	PNC LIHTC Fund 99, LLC	805 SW BROADWAY, SUITE 2200	MAILSTOP: Y7-YFTP-22-1	PORTLAND	OR	OREGON	97205-3339	5034325857	DELAWARE							Limited Liability Company		withinFiveYears	2023
0002114242-26-000003	YES	101	0002114242	L Squared Capital Partners V LP	3434 VIA LIDO SUITE 300		NEWPORT BEACH	CA	CALIFORNIA	92663	9493980168	DELAWARE							Limited Partnership		withinFiveYears	2026
0000950142-26-000969	YES	101	0002102082	Apollo Direct Lending Fund - Perpetual (Levered Overseas), L.P.	9 WEST 57TH STREET	41ST FLOOR	NEW YORK	NY	NEW YORK	10019	212-515-3200	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2025
0001493152-26-014308	YES	101	0002109705	Phalanx Fund V, LP	90 WOODBRIDGE CENTER DRIVE	SUITE 505	WOODBRIDGE	NJ	NEW JERSEY	07095	(732) 362-8205	DELAWARE							Limited Partnership		withinFiveYears	2025
0001860424-26-000001	YES	101	0001860424	Onex Direct Lending BDC Fund	930 SYLVAN AVENUE		ENGLEWOOD CLIFFS	NJ	NEW JERSEY	07632	(201) 541-2121	DELAWARE				Onex Falcon Direct Lending BDC Fund	Onex Falcon BDC Fund		Other	Statutory Trust	withinFiveYears	2021
0001865052-26-000004	YES	101	0001865052	Gearflow Inc.	318 W. ADAMS ST.	Suite 700B	CHICAGO	IL	ILLINOIS	60606	6307807500	DELAWARE	Equiprent Inc.						Corporation		overFiveYears	
0001012975-26-000285	YES	101	0002125026	BSP Structured Credit V (US Feeder) L.P.	BNP PARIBAS HOUSE	ST JULIAN'S AVENUE	ST PETER PORT	Y7	GUERNSEY	GY1 1WA	44 1481 750800	GUERNSEY	Alcentra Structured Credit Opportunities Fund V (USD) L.P.						Limited Partnership		withinFiveYears	2022
0001213900-26-037584	YES	101	0002097288	BHAV Acquisition Corp	255 OLD NEW BRUNSWICK RD.	SUITE N210	PISCATAWAY	NJ	NEW JERSEY	08854	(732) 612-9552	CAYMAN ISLANDS							Other	Cayman Islands  exempted company	withinFiveYears	2025
0001936997-26-000003	YES	101	0001936997	Ovala, Inc.	2366 GOLDEN MILE HIGHWAY	BOX 505	PITTSBURGH	PA	PENNSYLVANIA	15239	412.200.7996	DELAWARE							Corporation		overFiveYears	
0002121337-26-000001	YES	101	0002121337	Petra 9801 York, LLC	251 S WHITTIER ST STE C		WICHITA	KS	KANSAS	67207	3162439929	KANSAS							Limited Liability Company		withinFiveYears	2026
0002126250-26-000001	YES	101	0002126250	Bettor Capital IC, LP	10 SALEM AVENUE		SPRING LAKE	NJ	NEW JERSEY	07762	313-655-4864	DELAWARE							Limited Partnership		withinFiveYears	2026
0001869388-26-000002	YES	101	0001869388	MSD EIV Private, LLC - Series B	550 MADISON AVENUE, 20TH FLOOR		NEW YORK	NY	NEW YORK	10022	(212) 303-1650	DELAWARE							Limited Liability Company		withinFiveYears	2021
0002124991-26-000001	YES	101	0002124991	Proximal Ventures Fund I LP	507 BARONE LANE		MILL VALLEY	CA	CALIFORNIA	94941	516-784-0600	DELAWARE							Limited Partnership		withinFiveYears	2026
0001689801-26-000001	YES	101	0001689801	MSD EIV Private, LLC	550 MADISON AVENUE, 20TH FLOOR		NEW YORK	NY	NEW YORK	10022	(212) 303-1650	DELAWARE				MSD EIV Private, LLC - Series A	MSD EIV Private, LLC		Limited Liability Company		overFiveYears	
0001932974-26-000003	YES	101	0001932974	Stonepeak Core Fund (B) LP	55 HUDSON YARDS	550 WEST 34TH STREET, 48TH FLOOR	NEW YORK	NY	NEW YORK	10001	(212) 907-5100	DELAWARE							Limited Partnership		withinFiveYears	2022
0002126228-26-000001	YES	101	0002126228	YSA Henderson Fund, LLC	999 CORPORATE DRIVE		LADERA RANCH	CA	CALIFORNIA	92694	(949) 315-0044	DELAWARE							Limited Liability Company		withinFiveYears	2025
0001932975-26-000003	YES	101	0001932975	Stonepeak Core Fund (A) LP	55 HUDSON YARDS	550 WEST 34TH STREET, 48TH FLOOR	NEW YORK	NY	NEW YORK	10001	(212) 907-5100	DELAWARE							Limited Partnership		withinFiveYears	2022
0000919574-26-001989	YES	101	0002121694	ThetaBlue Fund LP	16347 AZTEC RIDGE DRIVE		LOS GATOS	CA	CALIFORNIA	95030	408-904-9940	DELAWARE							Limited Partnership		withinFiveYears	2026
0002107396-26-000004	YES	101	0002107396	Gilgamesh Pharma Inc.	113 UNIVERSITY PLACE, SUITE 1019		NEW YORK	NY	NEW YORK	10003	929-723-4861	DELAWARE							Corporation		withinFiveYears	2025
0002011071-26-000001	YES	101	0002011071	Deerpath Capital VII (Cayman), LP	CO SERVICES CAYMAN LIMITED	WILLOW HOUSE, CRICKET SQUARE	GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-1001	646-786-1016	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2023
0002124535-26-000001	YES	101	0002124535	OpZira, Inc.	1000 KREIDER DRIVE, STE 700		MIDDLETOWN	PA	PENNSYLVANIA	17057	800-978-4150	DELAWARE	RetinaDx, Inc.						Corporation		withinFiveYears	2025
0002113212-26-000001	YES	101	0002113212	GEM SBO Fund III (Lux), SCSp	224 W. TREMONT AVENUE		CHARLOTTE	NC	NORTH CAROLINA	28203	704-333-8282	LUXEMBOURG							Other	LUXEMBOURG SOCIETE EN COMMANDITE SPECIALE (SCSP)	withinFiveYears	2025
0002054552-26-000001	YES	101	0002054552	Westerly Winds Construction Finance Fund, L.P.	106 E 6TH STREET		AUSTIN	TX	TEXAS	78701	44 20 4574 6227	DELAWARE							Limited Partnership		withinFiveYears	2024
0002093068-26-000001	YES	101	0002093068	Equitybee 22-32046, a Series of Equitybee cFund Master LLC	955 ALMA ST SUITE B		PALO ALTO	CA	CALIFORNIA	94301	6508471149	DELAWARE							Limited Liability Company		withinFiveYears	2024
0002093416-26-000002	YES	101	0002093416	Series 7-2, a series of StartEngine Private Funds LLC	4100 ALAMEDA AVE	FLOOR 3	BURBANK	CA	CALIFORNIA	91505	4242794186	DELAWARE				Series 7-2, a series of StartEngine Private LLC			Limited Liability Company		withinFiveYears	2025
0002126020-26-000001	YES	101	0002126020	TPG Rise Climate Transition Infrastructure (C), L.P.	301 COMMERCE STREET	SUITE 3300	FORT WORTH	TX	TEXAS	76102	817-871-4000	DELAWARE							Limited Partnership		withinFiveYears	2026
0002106994-26-000003	YES	101	0002106994	Monarch Quantum, Inc.	10150 MEANLEY DRIVE		SAN DIEGO	CA	CALIFORNIA	92131	(858) 231-9446	DELAWARE							Corporation		withinFiveYears	2025
0002124939-26-000001	YES	101	0002124939	PREP Richmond TX LLC	7500 OLD GEORGETOWN ROAD		BETHESDA	MD	MARYLAND	20814	(202) 370-6435	DELAWARE							Limited Liability Company		withinFiveYears	2026
0002068659-26-000001	YES	101	0002068659	Equitybee 22-29359, a Series of Equitybee cFund Master LLC	955 ALMA ST SUITE B		PALO ALTO	CA	CALIFORNIA	94301	6508471149	DELAWARE							Limited Liability Company		withinFiveYears	2024
0002061562-26-000001	YES	101	0002061562	AIF FUND II LP	4767 NEW BROAD STREET, SUITE 324		ORLANDO	FL	FLORIDA	32814	407-212-2738	DELAWARE							Limited Partnership		withinFiveYears	2025
0002125361-26-000001	YES	101	0002125361	HPIMF KRAMER HOLDINGS AUS021 LP	901 S MOPAC EXPRESSWAY	BUILDING 3, SUITE 220	AUSTIN	TX	TEXAS	78746	5128354455	TEXAS							Limited Partnership		withinFiveYears	2026
0002106994-26-000002	YES	101	0002106994	Monarch Quantum, Inc.	10150 MEANLEY DRIVE		SAN DIEGO	CA	CALIFORNIA	92131	(858) 231-9446	DELAWARE							Corporation		withinFiveYears	2025
0002126127-26-000001	YES	101	0002126127	SOLIDROAD INC.	1111B SOUTH GOVERNORS AVENUE		DOVER	DE	DELAWARE	19904	858-350-2220	DELAWARE							Corporation		withinFiveYears	2023
0000950142-26-000966	YES	101	0002124208	Fairmount Healthcare Co-Invest VI L.P.	200 BARR HARBOR DRIVE	SUITE 400	WEST CONSHOHOCKEN	PA	PENNSYLVANIA	19428	(267) 262-5300	DELAWARE							Limited Partnership		withinFiveYears	2026
0002125061-26-000001	YES	101	0002125061	EQT Real Estate Europe Living II (No.2) SCSp	51A, BOULEVARD ROYAL		LUXEMBOURG	N4	LUXEMBOURG	L-2449	+352 26 73 26	LUXEMBOURG							Limited Partnership		withinFiveYears	2024
0002113986-26-000001	YES	101	0002113986	Eclipse Early Growth Fund III, L.P.	514 HIGH STREET		PALO ALTO	CA	CALIFORNIA	94301	650-720-4667	DELAWARE							Limited Partnership		withinFiveYears	2026
0002125055-26-000001	YES	101	0002125055	EQT Real Estate Europe Living II (No.1) SCSp	51A, BOULEVARD ROYAL		LUXEMBOURG	N4	LUXEMBOURG	L-2449	+352 26 73 26	LUXEMBOURG							Limited Partnership		withinFiveYears	2024
0002126095-26-000001	YES	101	0002126095	Sixth Street TAO Partners (G), L.P.	2100 MCKINNEY AVENUE	SUITE 1500	DALLAS	TX	TEXAS	75201	4696213001	DELAWARE							Limited Partnership		withinFiveYears	2026
0001213900-26-037453	YES	101	0001584371	IceCure Medical Ltd.	7 HA'ESHEL ST		CAESAREA	L3	ISRAEL	3079504	+972.4.6230333	ISRAEL							Corporation		overFiveYears	
0001062993-26-001752	YES	101	0002124015	Laiva Gold Inc.	250 SOUTHRIDGE NW	SUITE 300	EDMONTON	A0	ALBERTA, CANADA	T6H 4M9	780-437-6624	ALBERTA, CANADA							Corporation		withinFiveYears	2023
0001493152-26-014160	YES	101	0002121605	LBS Income Fund, L.P.	1441 BRICKELL AVENUE	SUITE 1510-B	MIAMI	FL	FLORIDA	33131	917-697-3911	DELAWARE							Limited Partnership		withinFiveYears	2026
0002113988-26-000001	YES	101	0002113988	Eclipse Fund VI, L.P.	514 HIGH STREET		PALO ALTO	CA	CALIFORNIA	94301	650-720-4667	DELAWARE							Limited Partnership		withinFiveYears	2026
0001493152-26-014141	YES	101	0002121635	LBS Income Fund (RIC), L.P.	1441 BRICKELL AVENUE	SUITE 1510-B	MIAMI	FL	FLORIDA	33131	917-697-3911	DELAWARE							Limited Partnership		withinFiveYears	2026
0002063338-26-000001	YES	101	0002063338	Buxton Helmsley, Inc.	1185 AVENUE OF THE AMERICAS	FLOOR 3	NEW YORK	NY	NEW YORK	10036	2125615540	NEVADA							Corporation		withinFiveYears	2025
0002123879-26-000003	YES	101	0002123879	Dillistone Group PLC	UNIT 9, CROCKFORD LANE	CHINEHAM BUSINESS PARK	BASINGSTOKE	X0	UNITED KINGDOM	RG24 8WD	44 (0) 1256 297 000	UNITED KINGDOM							Other	Public limited company	overFiveYears	
0002111625-26-000004	YES	101	0002111625	JS VENTURE FUND LLC SERIES A37	585 STEWART AVE	SUITE L60C	GARDEN CITY	NY	NEW YORK	11530	(516) 267-7028	DELAWARE							Limited Liability Company		withinFiveYears	2026
0000950142-26-000959	YES	101	0002118205	Apollo Asset-Backed Finance Fund (Lux), SCSp	2, AVENUE CHARLES DE GAULLE	42ND FLOOR	LUXEMBOURG	N4	LUXEMBOURG	L-1653	212-515-3200	LUXEMBOURG							Limited Partnership		withinFiveYears	2025
0000929638-26-001348	YES	101	0002103079	Circulate Capital Asia II, LP	16 RAFFLES QUAY	#20-03 Hong Leong Building	SINGAPORE	U0	SINGAPORE	048581	65 82881875	SINGAPORE							Limited Partnership		withinFiveYears	2025
0002114001-26-000001	YES	101	0002114001	Blue Owl Digital Infrastructure Miner Co-Invest LP	150 NORTH RIVERSIDE PLAZA	37TH FLOOR	CHICAGO	IL	ILLINOIS	60606	212-419-3000	DELAWARE							Limited Partnership		withinFiveYears	2026
0002125750-26-000001	YES	101	0002125750	Clinch Resources Ltd.	265 BROOKVIEW CENTRE WAY	SUITE 1	KNOXVILLE	TN	TENNESSEE	37919	865-770-4141	BRITISH COLUMBIA, CANADA	1290439 B.C. Ltd.						Corporation		overFiveYears	
0001231919-26-000299	YES	101	0002022020	Rivet Industries, Inc.	1025 Thomas Jefferson St NW	Ste E-3100	WASHINGTON	DC	DISTRICT OF COLUMBIA	20007	7034393782	DELAWARE							Corporation		withinFiveYears	2024
0000912282-26-000532	YES	101	0002124419	Al Biernat's Fort Worth LLC	4217 Oak Lawn Avenue		Dallas	TX	TEXAS	75219	469-644-4927	TEXAS	Al Biernat's Southlake LLC						Limited Liability Company		withinFiveYears	2022
0001712373-26-000002	YES	101	0001712373	TN HoldCo, Inc.	265 BROOKVIEW CENTRE WAY, SUITE 400		KNOXVILLE	TN	TENNESSEE	37919	865-693-1000	DELAWARE							Corporation		overFiveYears	
0002109711-26-000001	YES	101	0002109711	CLEARMATRIX SPV A SERIES OF AM SPV FUND MANAGEMENT LLC	400 N ERVAY ST	#130064	DALLAS	TX	TEXAS	75201	8014338005	DELAWARE							Limited Liability Company		withinFiveYears	2026
0001863525-26-000003	YES	101	0001863525	IPO.CLUB LLC	1111 LINCOLN ROAD, SUITE 500		MIAMI BEACH	FL	FLORIDA	33139	(786) 600-1227	DELAWARE				PRE-IPO.CLUB LLC			Limited Liability Company		withinFiveYears	2021
0002125875-26-000001	YES	101	0002125875	23 Broadway Marketing, Inc.	915 Broadway	Suite 1406	New York	NY	NEW YORK	10010	(414) 271-6560	DELAWARE							Corporation		withinFiveYears	2026
0002039128-26-000006	YES	101	0002039128	Peachtree Credit Fund IV, LP	3500 LENOX ROAD, SUITE 625		ATLANTA	GA	GEORGIA	30326	404-497-4111	DELAWARE							Limited Liability Company		withinFiveYears	2024
0000950142-26-000958	YES	101	0002022334	Apollo Aligned Alternatives ST Fund (USD), L.P.	190 ELGIN AVENUE		GEORGE TOWN, GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-9008	212-515-3200	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2024
0001752026-26-000006	YES	101	0001752026	Linnaeus Therapeutics, Inc.	30 WASHINGTON AVENUE, SUITE F		HADDONFIELD	NJ	NEW JERSEY	08033	856-433-1500	DELAWARE							Corporation		overFiveYears	
0002125919-26-000001	YES	101	0002125919	Mariner Capital Opportunity Fund, LP	10603 W SAM HOUSTON PARKWAY N	SUITE 450	HOUSTON	TX	TEXAS	77064	832-461-0789	DELAWARE							Limited Partnership		withinFiveYears	2025
0002124971-26-000001	YES	101	0002124971	Blackstone Waypoint Fund LP	345 PARK AVENUE		NEW YORK	NY	NEW YORK	10154	212-583-5000	ONTARIO, CANADA							Limited Partnership		withinFiveYears	2026
0002084210-26-000001	YES	101	0002084210	Legend Capital Ventures II, LLC	220 FIFTH AVENUE	17TH FLOOR	NEW YORK	NY	NEW YORK	10001	(212) 606-2326	DELAWARE							Limited Liability Company		withinFiveYears	2025
0002117913-26-000001	YES	101	0002117913	DIA COURTHOUSE METRO LLC	15 W AYLESBURY ROAD	SUITE 300	TIMONIUM	MD	MARYLAND	21093	4436236201	MARYLAND							Limited Liability Company		withinFiveYears	2025
0002123443-26-000001	YES	101	0002123443	FRED-Cary Illinois, LLC	789 NORTH WATER STREET	SUITE 500	MILWAUKEE	WI	WISCONSIN	53202	414-274-8206	WISCONSIN							Limited Liability Company		withinFiveYears	2026
0002125276-26-000001	YES	101	0002125276	Crest Performance Partners Private Debt, LLC	400 N ERVAY ST	#130064	DALLAS	TX	TEXAS	75201	8014338005	DELAWARE							Limited Liability Company		withinFiveYears	2026
0002126184-26-000001	YES	101	0002126184	Tresses SPV B, LP	1655 2nd Street	#319	Napa	CA	CALIFORNIA	94539	4342380920	DELAWARE							Limited Partnership		withinFiveYears	2025
0002117333-26-000003	YES	101	0002117333	Savannah LandCo LLC	5450 E HIGH STREET	SUITE 300	PHOENIX	AZ	ARIZONA	85054	(602) 428-5553	ARIZONA							Limited Liability Company		withinFiveYears	2026
0001998437-26-000001	YES	101	0001998437	PIM Income Fund LLC	1750 SW SKYLINE BLVD, STE 25		PORTLAND	OR	OREGON	97221	209-403-6096	DELAWARE							Limited Liability Company		withinFiveYears	2023
0002108914-26-000001	YES	101	0002108914	EquityZen Growth Technology Fund LLC - Series 2254	1 New York Plaza	12th Floor	New York	NY	NEW YORK	10004	(877) 490-6121	DELAWARE							Limited Liability Company		withinFiveYears	2024
0001013594-26-000412	YES	101	0002123892	Boardman Bay Ventures, LP - Series Q7	1120 AVENUE OF THE AMERICAS	4TH FLOOR	NEW YORK	NY	NEW YORK	10036	646-358-4181	DELAWARE							Limited Partnership		withinFiveYears	2026
0001013594-26-000411	YES	101	0002043619	Boardman Bay Ventures, LP - Series I7	1120 AVENUE OF THE AMERICAS	4TH FLOOR	NEW YORK	NY	NEW YORK	10036	646-358-4181	DELAWARE							Limited Partnership		withinFiveYears	2024
0001013594-26-000410	YES	101	0001899503	Boardman Bay Ventures, LP - Series I	1120 AVENUE OF THE AMERICAS	4TH FLOOR	NEW YORK	NY	NEW YORK	10036	646-358-4181	DELAWARE							Limited Partnership		withinFiveYears	2021
0001013594-26-000409	YES	101	0002104609	Boardman Bay Ventures, LP - Series Q	1120 AVENUE OF THE AMERICAS	4TH FLOOR	NEW YORK	NY	NEW YORK	10036	646-358-4181	DELAWARE							Limited Partnership		withinFiveYears	2026
0002114649-26-000002	YES	101	0002114649	HZ Fairways DST	37 GRAHAM STREET, SUITE 120		SAN FRANCISCO	CA	CALIFORNIA	94129	415-561-6800	DELAWARE							Business Trust		withinFiveYears	2025
0000945621-26-000508	YES	101	0001957325	EAG Holdings LP	733 THIRD AVENUE		NEW YORK	NY	NEW YORK	10017	212-949-8700	DELAWARE							Limited Partnership		withinFiveYears	2021
0002124788-26-000001	YES	101	0002124788	Skylane Holdings I LLC	500 FOLSOM ST.		SAN FRANCISCO	CA	CALIFORNIA	94105	2068222758	DELAWARE							Limited Liability Company		withinFiveYears	2026
0002030268-26-000002	YES	101	0002030268	PIM Litigation Portfolio LLC	1750 SW SKYLINE BLVD STE 25		PORTLAND	OR	OREGON	97221	209-403-6096	DELAWARE							Limited Liability Company		withinFiveYears	2024
0001012975-26-000284	YES	101	0002123528	Avenue Sports Opportunities Fund AIV (BB), L.P.	11 WEST 42ND STREET	9TH FLOOR	NEW YORK	NY	NEW YORK	10036	212-878-3500	DELAWARE							Limited Partnership		withinFiveYears	2026
0002125526-26-000001	YES	101	0002125526	CCI Founders Fund Growth IV, L.P.	610 NEWPORT CENTER DRIVE	SUITE 500	NEWPORT BEACH	CA	CALIFORNIA	92660	9497219580	DELAWARE							Limited Partnership		withinFiveYears	2026
0002089657-26-000001	YES	101	0002089657	RP 201 LAUREL HOLDINGS, LLC	1255 Drummers Lane	Suite 101	WAYNE	PA	PENNSYLVANIA	19087	215-609-3497	DELAWARE							Limited Liability Company		withinFiveYears	2025
0002126049-26-000001	YES	101	0002126049	RISE Robotics I, a series of Capitalize Investments LLC	1887 WHITNEY MESA DR #8885		HENDERSON	NV	NEVADA	89014	4152095902	DELAWARE							Limited Liability Company		withinFiveYears	2026
0002103950-26-000001	YES	101	0002103950	Moonfare Series Fund I LLC - Series F	12 E 49TH STREET		NEW YORK	NY	NEW YORK	10017	929.538.3751	DELAWARE							Limited Liability Company		withinFiveYears	2025
0001012975-26-000283	YES	101	0002123527	Avenue Sports Opportunities Fund (Offshore) AIV (BB), L.P.	11 WEST 42ND STREET	9TH FLOOR	NEW YORK	NY	NEW YORK	10036	212-878-3500	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2026
0002126050-26-000001	YES	101	0002126050	Starcloud I, a series of Capitalize Investments LLC	1887 WHITNEY MESA DR #8885		HENDERSON	NV	NEVADA	89014	4152095902	DELAWARE							Limited Liability Company		withinFiveYears	2026
0001744017-26-000003	YES	101	0001744017	Grand Oak Capital Partners, Ltd Partnership	1325 RICHELIEU LANE		HOUSTON	TX	TEXAS	77018	8324892116	TEXAS							Limited Partnership		overFiveYears	
0001347989-26-000009	YES	101	0001347989	Pacific West Mortgage Fund, LLC	1420 MARCELINA AVENUE		TORRANCE	CA	CALIFORNIA	90501	310-323-0035	CALIFORNIA				PACIFIC WEST MORTGAGE FUND LLC			Limited Liability Company		overFiveYears	
0002124161-26-000001	YES	101	0002124161	Banner VC Co-invest I, LP	1512 SOUTH CONGRESS AVENUE, 2ND FLOOR		AUSTIN	TX	TEXAS	78704	512-815-3408	DELAWARE							Limited Partnership		withinFiveYears	2026
