ACCESSIONNUMBER	SIGNATURE_SEQ_KEY	ISSUERNAME	SIGNATURENAME	NAMEOFSIGNER	SIGNATURETITLE	SIGNATUREDATE
0002109791-26-000001	101	AUGUREY VENTURES I - SERIES SPACEX B	FRANK CARDIA	FRANK CARDIA	MANAGING PARTNER	2026-01-21
0001012975-26-000111	101	2025 AI Opportunities, L.P.	/s/ Owen Timothy Niland	Owen Timothy Niland	Assistant Secretary of the Investment Manager of the Issuer	2026-02-05
0001123292-26-000099	101	Stonehenge Community Impact Fund II LP	/s/ L'Quentus Thomas	L'Quentus Thomas	Managing Member of the General Partner	2026-02-05
0002109402-26-000001	101	INVMW Delray Senior Investor LLC	s/Timothy Lange	Timothy Lange	Attorney	2026-02-05
0002081673-26-000019	101	Harmonic Series B SPV, LLC	/s/ Kirk Carson	Kirk Carson	Authorized Signatory	2026-02-05
0002109818-26-000001	101	SP Eagle, LLC	Matthew P Fioritto	Matthew Peter Fioritto	Controller/Compliance Manager	2026-02-05
0002105644-26-000002	101	Unity Growth Series Fund LLC - Fund 039	Abhiram Appalaneni	Abhiram Appalaneni	Manager Representative of Issuer's Manager	2026-01-03
0002108157-26-000001	101	CASF VI Aggregator (EUR) SCSp	Daniel Volatiana	Daniel Volatiana	Manager	2026-02-05
0001312570-26-000001	101	POLESTAR OFFSHORE FUND LTD	/s/Jay Kesslen	Jay Kesslen	General Counsel of the Investment Manager	2026-02-05
0002109037-26-000001	101	Committed Advisors Secondary Fund VI - USD SCSp	Daniel Volatiana	Daniel Volatiana	Manager	2026-02-05
0001237198-26-000001	101	Horizon Credit Opportunities Fund, LP	/s/Jay Kesslen	Jay Kesslen	General Counsel of the Investment Manager	2026-02-05
0002109038-26-000001	101	Committed Advisors Secondary Fund VI - EUR SCSp	Daniel Volatiana	Daniel Volatiana	Manager	2026-02-05
0002109819-26-000001	101	SWA Energy Fund I Limited Partnership	Kyle Swafford	Kyle Swafford	By POA from Gary Covert, Manager	2026-02-05
0002105643-26-000002	101	Unity Growth Series Fund LLC - Fund 038	Abhiram Appalaneni	Abhiram Appalaneni	Manager Representative of Issuer's Manager	2026-01-28
0001818808-26-000002	101	Kiwi Campus Inc	/s/ Eduardo Iniguez	Eduardo Iniguez	Chief Financial Officer	2026-02-05
0002053848-26-000001	101	Horizon Kinetics Royalty & Real Asset Fund LP	/s/Jay Kesslen	Jay Kesslen	General Counsel of the Investment Manager	2026-02-05
0002108548-26-000001	101	HRA Niche Co-Investor LLC	/S/ Timothy D. Smith	Timothy D. Smith	Manager of HRA Manager LLC, Manager of Issuer	2026-02-04
0002105645-26-000002	101	Unity Growth Series Fund LLC - Fund 037	Abhiram Appalaneni	Abhiram Appalaneni	Manager Representative of Issuer's Manager	2026-01-28
0002109411-26-000001	101	Parliament Capital Series III LLC-Series M	/s/ Wilnerys Alvarez	Wilnerys Alvarez	Chief Compliance Officer	2026-02-05
0000902664-26-000719	101	D1 Aria Holdings-A LP	/s/ Amanda Hector	Amanda Hector	General Counsel & CCO of the GP & IM	2026-02-04
0002109210-26-000001	101	Monarch Collective Cleveland Basketball, LLC	/s/ Jasmine Robinson	Jasmine Robinson	Manager of the Upper Manager	2026-02-05
0000902664-26-000718	101	D1 Capital Series LLC - Series Aria 3	/s/ Amanda Hector	Amanda Hector	GC & CCO of the Managing Member	2026-02-04
0002094288-26-000001	101	Blue Collar Equity Fund I, LP	/s/Daniel Roberts	Daniel Roberts	Chief Compliance Officer	2026-02-05
0001398344-26-002297	101	Investure PE Fund, LP - Series 6	/s/ Bruce A. Miller	Bruce A. Miller	Managing Member of Managing Member of General Partner	2026-02-05
0001814554-26-000022	101	PO&G Resources Fund II, LP	/s/ Steven A. Pfeifer	Steven A. Pfeifer	Manager of the Sole Member of the GP of the Issuer's GP	2026-02-05
0002102205-26-000001	101	BILI FUND OF FUNDS GROWTH, LP	SERGEY ERSHIKOV	SERGEY ERSHIKOV	MANAGING DIRECTOR OF GP OF ISSUER.	2025-12-19
0002100678-26-000001	101	HEG 2 Pack, LLC	Janesh Patel	Janesh Patel	corporate secretary	2026-02-05
0000929638-26-000514	101	Baillie Gifford Co-Invest (No. 5) Fund LP	ANGELA GEDDES	ANGELA GEDDES	MANAGER OF THE ULTIMATE GENERAL PARTNER	2026-02-05
0001437749-26-003139	101	RemoteThreat, Inc.	/s/ Christopher A. Thompson	Christopher A. Thompson	Chief Executive Officer and President	2026-02-05
0002108447-26-000001	101	Unity Growth Series Fund LLC - Fund 042	Abhiram Appalaneni	Abhiram Appalaneni	Manager Representative of Issuer's Manager	2026-02-05
0002109785-26-000001	101	CC Frontier, L.P. Arbor	Jon Ylvisaker	Jon Ylvisaker	Managing Member of the General Partner	2026-02-05
0001941040-26-000070	101	Krieg Investment Fund I, LLC	John Cogan Wade Jr	John Cogan Wade Jr	Sole Member of the Managing Entity, Krieg Management, LLC	2026-02-05
0002108446-26-000001	101	Unity Growth Series Fund LLC - Fund 041	Abhiram Appalaneni	Abhiram Appalaneni	Manager Representative of Issuer's Manager	2026-02-05
0002108445-26-000001	101	Unity Growth Series Fund LLC - Fund 040	Abhiram Appalaneni	Abhiram Appalaneni	Manager Representative of Issuer's Manager	2026-02-05
0002109397-26-000001	101	Cyberhill Partners Inc.	Rolando A. Diaz	Rolando A. Diaz	Authorized Representative, Corporate Counsel	2026-02-04
0002095441-26-000001	101	Genesis Tech Fund III LLC	/s/ Brandi Shotwell	Brandi Shotwell	Authorized Signatory	2026-02-05
0001941040-26-000069	101	Blitz Fund I, LLC	John Cogan Wade Jr	John Cogan Wade Jr	Sole Member of the Managing Entity, Krieg Management, LLC	2026-02-05
0002078385-26-000001	101	Guggenheim Private Investments Garnet Fund, LP	/s/ Robert A. Saperstein	Robert A. Saperstein	CCO of the Sole Member of the GP of Issuer	2026-02-05
0001493152-26-005229	101	LUXY TECHNOLOGIES, INC.	/s/ Joseph Salemme	Joseph Salemme	Chief Executive Officer	2026-02-05
0002106479-26-000001	101	7sg Inc.	Christopher Morgan	Christopher Morgan	President	2025-12-29
0001566670-26-000004	101	Prelude Investors Fund, LP	Cisco J. del Valle	Cisco J. del Valle	Managing Member of the General Partner of the Issuer	2026-01-14
0001140361-26-003837	101	Thornburg Developing World Fund (Q.P.), LLC	/s/ Nimish Bhatt	Nimish Bhatt	Managing Director	2026-02-05
0002000309-26-000001	101	Paper Profits V3 LLC	/s/ Joshua N Andrews	Joshua N Andrews	Managing Partner	2026-02-05
0001834794-26-000001	101	Paper Profits Income Fund, LLC	/s/ Joshua Andrews	Joshua Andrews	Principal of Issuer's Management Co, Freedom Management, LLC	2026-02-05
0002038938-26-000001	101	Zephyr Peacock India Growth Fund II U.S., L.P.	Tina Keriazes	Tina Keriazes	Secretary of the General Partner	2026-02-05
0001855468-26-000001	101	Lingrove Inc.	Joseph Luttwak	Joseph Luttwak	Chief Executive Officer	2026-02-05
0001110449-26-000001	101	SCOGGIN OVERSEAS FUND LTD	/s/ Craig Effron	Craig Effron	Director of Issuer	2026-02-03
0001387807-26-000001	101	SCOGGIN WORLDWIDE DISTRESSED FUND LLC	/s/ Craig Effron	Craig Effron	Principal of the Managing Member	2026-02-03
0000935836-26-000068	101	DARLINGTON PARTNERS L P	Mina Iskander	Mina Iskander	COO of Darlington Partners GP, LLC, General Partner	2026-02-05
0001130262-26-000001	101	SCOGGIN CAPITAL MANAGEMENT II LLC	/s/ Craig Effron	Craig Effron	Manager of the administrative manager of the Issuer	2026-02-03
0002078411-26-000001	101	Deep Root Biolabs, Inc.	Colin Handzo	Colin Handzo	Attorney in Fact	2026-02-05
0002106864-26-000001	101	1911 WATERTOWN SPV LLC	ROBERT MAXWELL SCHIEBLE	ROBERT MAXWELL SCHIEBLE	MANAGING DIRECTOR OF MANAGING MEMBER OF ISSUER	2026-02-02
0002106331-26-000001	101	RS Co-Invest Aggregator, LP	Paul Nicoletti	Paul Nicoletti	Treasurer	2026-02-05
0002108516-26-000001	101	IRON INVESTMENTS FUND I LP	ABDULLAH BUDEIR	ABDULLAH BUDEIR	MANAGING DIRECTOR OF GP OF ISSUER	2026-02-05
0001787352-26-000001	101	Nuclein, LLC	Alan Blake	Alan Blake	Chief Executive Officer	2026-02-04
0001050889-26-000001	101	SCOGGIN CAPITAL MANAGEMENT LLC	/s/ Craig Effron	Craig Effron	Manager of the administrative manager of the Issuer	2026-02-03
0001694384-26-000003	101	Boston Common Sustainable Emerging Markets Fund, LLC	Kristina Eisnor	Kristina Eisnor	Chief Compliance Officer	2026-01-09
0002108090-26-000002	101	LUREX BIO, INC	James Lee Clark	James Lee Clark	Founder	2026-02-05
0000935836-26-000067	101	DP Liquidating Fund, L.P.	Mina Iskander	Mina Iskander	COO of Darlington Partners GP, LLC, General Partner	2026-02-05
0002106950-26-000001	101	HyperNatural Corp.	/s/ Chris Kolbe	Chris Kolbe	Chief Executive Officer	2026-02-05
0002044311-26-000004	101	RCA Services Holdings LLC	Hannah Vilas	Hannah Vilas	Attorney-in-Fact	2026-02-05
0000905148-26-000514	101	Braidwell Partners (US) LP	Colin Bettison	Colin Bettison	Chief Financial Officer	2026-02-05
0000902664-26-000715	101	Blue Water Special Opportunities, LP	/s/ Nathaniel T. Cornell	Nathaniel T. Cornell	Managing Member of the GP	2026-02-04
0000950166-26-000005	101	PGIM REAL ESTATE CREDIT SOLUTIONS U.S., L.P.	Jeremy Keenan	Jeremy Keenan	Vice President of General Partner of Issuer	2026-02-05
0000902664-26-000713	101	Blue Water Special Opportunities II, LP	/s/ Nathaniel T. Cornell	Nathaniel T. Cornell	Managing Member of the GP	2026-02-04
0002107663-26-000001	101	Blue Owl Real Estate Exchange V DST	/s/ Andrew Morris	Andrew Morris	Corporate Secretary of the Manager of the Issuer	2026-02-05
0000905148-26-000513	101	Braidwell Partners LP	Colin Bettison	Colin Bettison	Chief Financial Officer	2026-02-05
0000935836-26-000066	101	Darlington Partners Offshore, L.P.	/s/ Mina Iskander	Mina Iskander	COO of Darlington Partners GP, LLC, General Partner	2026-02-05
0002063453-26-000002	101	RGP Income Fund II, LP	Brandi Van Loon	Brandi Van Loon	Manager of Renaissance Growth Partners, LLC, sole mem of MGP	2026-02-05
0002109458-26-000001	101	Pomerium Capital Management, LLC	/ss/ James E Grand	James E Grand	Atty in Fact	2026-02-05
0002109546-26-000001	101	Nehemiah Fund LP	Glenn Visconti	Glenn Visconti	Manager	2026-02-05
0001796261-26-000001	101	AG DLI IV, L.P.	/s/ Christopher Moore	Christopher Moore	General Counsel of the Manager of the General Partner	2026-02-05
0001213900-26-012631	101	RMB Private Investment Opportunities LLC - Series 4	/s/ Maher Harb	Maher Harb	CFO	2026-02-05
0002109112-26-000001	101	IA Reddy 113x0 a Series of IrishAngels 2026 LLC	Caroline Gash	Caroline Gash	Managing Director of its Manager	2026-02-05
0002109688-26-000001	101	2026 BrokerTech Accelerator, LLC	Daniel T. Keough	Daniel T. Keough	President	2026-02-05
0002095791-26-000001	101	Delta40 LLC	/s/ Lyndsay Holley Handler	Lyndsay Holley Handler	Chief Executive Officer	2026-02-05
0001668635-26-000001	101	WIC Managed Volatility & Income Fund QP, LP	Robert T. Willis, Jr.	Robert T. Willis, Jr.	CEO & CIO of Willis Investment Counsel, Issue GP	2026-02-05
0002095765-26-000001	101	Delta40 Fund I LLC	/s/ Lyndsay Holley Handler	Lyndsay Holley Handler	Chief Executive Officer of Delta40 LLC, its Managing Member	2026-02-05
0002109604-26-000001	101	Inland Self-Storage Portfolio XXII DST	Kristin Orlando	Kristen Orlando	Corporate Secretary	2026-02-05
0001231919-26-000113	101	Blue Dot Investors Fund, LP	/s/ Sahej Suri	Sahej Suri	Managing Director of the General Partner of the Issuer	2026-02-05
0002089871-26-000002	101	Blue Owl Real Estate Exchange IV DST	/s/ Andrew Morris	Andrew Morris	Corporate Secretary of the Manager of the Issuer	2026-02-05
0002007984-26-000001	101	VRS BLK GLOBAL DYNAMIC ALLOCATION STRATEGY FUND LLC	/s/ Noelle L'Heureux	Noelle L'Heureux	Managing Director of Issuer's Manager	2026-02-02
0001925987-26-000001	101	SPX Global Fund SPC - SPX Global Fund Segregated Portfolio Global Eagle	Stacey Kirkconnell	Stacey Kirkconnell	Director	2026-02-05
0001062993-26-000636	101	A2 Gold Corp.	/s/ Sean McGrath	Sean McGrath	CFO	2026-01-30
0002104694-26-000001	101	ATP 2025 Fund LLC	/s/ Ruben Islas	Ruben Islas	Manager of the Manager of the Issuer	2026-02-05
0000902664-26-000712	101	Serengeti Caracal SPC Ltd. - Segregated Portfolio CC2	/s/ Albert J. Martinez, Jr.	Albert J. Martinez, Jr.	Director of Serengeti Asset Management LP, the Invest. Mgr.	2026-02-05
0000902664-26-000711	101	Serengeti Caracal Multi-Series LLC - Series CC2	/s/ Albert J. Martinez, Jr.	Albert J. Martinez, Jr.	Director of Serengeti Asset Management LP, the Invest. Mgr.	2026-02-05
0002052364-26-000001	101	Banyan Mercantile Fund One, LP	John B. Ravenel	John B. Ravenel	Manager	2026-02-05
0002068764-26-000002	101	Origin Charlotte NoDa, DST	/s/Michael McVickar	Michael McVickar	General Counsel & Secretary	2026-02-05
0002109708-26-000001	101	Advanced Irrigation Holdings, LLC	George R. Kearney	George R. Kearney	President	2026-02-05
0000929638-26-000512	101	Glade Brook Strategic Growth V LP	/s/ Paul J. Hudson	Paul J. Hudson	Managing Member of Managing Member of GP of the lssuer	2026-02-05
0000902664-26-000710	101	Moraine ERISA Fund, Ltd	/s/ Matthew Corey	Matthew Corey	Director	2026-02-05
0000929638-26-000510	101	Glade Brook Strategic Growth V LP	/s/ Paul J. Hudson	Paul J. Hudson	Managing Member of Managing Member of GP of the lssuer	2026-02-05
0002073536-26-000001	101	Spatial Follow Fund I, a Series of Decile Start Fund, LP	Long Pham	Long Pham	Managing Partner of the Manager of the General Partner	2026-02-05
0002101895-26-000001	101	Basal Capital, a Series of Decile Start Fund, LP	Long Pham	Long Pham	Managing Partner of the Manager of the General Partner	2026-02-05
0002109412-26-000001	101	V360 Holdings LLC Series ENERTIV Aug 2025	Jonathan Hakakian	Jonathan Hakakian	Manager	2026-02-05
0001885962-26-000004	101	Nanochon, Inc.	/s/ Benjamin Holmes	Benjamin Holmes	Chief Executive Officer	2026-02-05
0002107004-26-000002	101	Ironsides Opportunities Evergreen Fund, L.P.	DANIEL M. CAHILL	DANIEL M. CAHILL	AUTHORIZED PERSON	2026-02-04
0002089421-26-000001	101	proChain Ventures, a Series of Decile Start Fund, LP	Long Pham	Long Pham	Managing Partner of the Manager of the General Partner	2026-02-05
0001977563-26-000001	101	Daytona Platforms Inc.	/s/ Ivan Burazin	Ivan Burazin	President	2026-02-05
0002108521-26-000001	101	Folia Materials, Inc.	Jonathan Levine	Jonathan Levine	CEO	2025-09-02
0001310990-26-000002	101	CMWA Small Cap Fund LLC	Neal B. Colby	Neal B. Colby	Chief Compliance Officer	2026-02-05
0002087350-26-000003	101	JWCM Vivian, DST	/s/ Jason Warsavsky	Jason Warsavsky	President of the Sponsor of the Issuer	2026-02-05
0002109019-26-000001	101	ISS Mining 1, LLC	Thomas G. Flake	Thomas G. Flake	General Manager and CEO	2026-02-04
0001309484-26-000002	101	CMWA Micro Cap Fund LLC	Neal B. Colby	Neal B. Colby	Chief Compliance Officer	2026-02-05
0002108614-26-000001	101	Fiesta Investco, LLC	Nicholas Rembowski	Nicholas Rembowski	Manager	2026-02-04
0001814554-26-000020	101	Sinewave Ventures Direct 2E, L.P.	/s/ Margaret Wells	Margaret Wells	COO	2026-02-05
0002109101-26-000001	101	LMDP Real Estate Holdings LLC	Carrie Van Syckel	Carrie Van Syckel	Executive Vice President	2026-02-05
0001442547-26-000002	101	CMWA LARGE CAP PARTNERSHIP LLC	Neal B. Colby	Neal B. Colby	Chief Compliance Officer	2026-02-05
0002058802-26-000002	101	Origin Nashville Queens, DST	/s/Michael McVickar	Michael McVickar	General Counsel & Secretary	2026-02-05
0001422816-26-000002	101	CMWA Foreign Developed Partnership LLC	Neal B. Colby	Neal B. Colby	Chief Compliance Officer	2026-02-05
0001540529-26-000002	101	CMWA Defensive Strategies Partnership, LLC	Neal B. Colby	Neal B. Colby	Chief Compliance Officer	2026-02-05
0001668874-26-000001	101	Jeffrey LLC	/s/Kerry J. Houghton	Kerry J. Houghton	President of the Managing Member of the Issuer	2026-01-19
0002109306-26-000001	101	BC Fund II SubREIT Tusk II LLC	Conley Patton	Conley Patton	Vice President	2026-02-05
0001321086-26-000001	101	CMWA Capital Appreciation Fund LLC	Neal B. Colby	Neal B. Colby	Chief Compliance Officer	2026-02-05
0002109307-26-000001	101	BC Fund II SubREIT Pine LLC	Conley Patton	Conley Patton	Vice President	2026-02-05
0002109635-26-000001	101	Invictus Alpha, LP	/s/ Andrea Ovelar	Andrea Ovelar	Manager of the General Partner and Investment Manager	2026-02-05
0002109308-26-000001	101	BC Fund II SubREIT Pettigrew LLC	Conley Patton	Conley Patton	Vice President	2026-02-05
0002109309-26-000001	101	BC Fund II SubREIT Industry LLC	Conley Patton	Conley Patton	Vice President	2026-02-05
0002109310-26-000001	101	BC Fund II SubREIT Gulfstream LLC	Conley Patton	Conley Patton	Vice President	2026-02-05
0002109013-26-000001	101	SL Capital Alternatives Fund I LP	/s/ Brendan Lake	Brendan Lake	Managing Member of General Partner	2026-02-05
0000919574-26-000612	101	JAM PARTNERS, L.P.	/s/Sy Jacobs	Sy Jacobs	Managing Member of the General Partner	2026-02-05
0002107694-26-000001	101	SP CARDINAL TEMPE REIT LLC	Phillip Solomond	Phillip Solomond	Senior Managing Director	2026-02-05
0002107699-26-000001	101	SP CARDINAL RENO REIT LLC	Phillip Solomond	Phillip Solomond	Senior Managing Director	2026-02-05
0002107692-26-000001	101	SP CARDINAL ARLINGTON REIT LLC	Phillip Solomond	Phillip Solomond	Senior Managing Director	2026-02-05
0002107666-26-000001	101	SP BELLEVUE REIT LLC	Phillip Solomond	Phillip Solomond	Senior Managing Director	2026-02-05
0001967033-26-000004	101	Epikast Inc.	/s/ Evangelos Vergetis	Evangelos Vergetis	President	2026-02-05
0002107667-26-000001	101	SP ADDISON REIT LLC	Phillip Solomond	Phillip Solomond	Senior Managing Director	2026-02-05
0002011064-26-000001	101	FIAM Global Unconstrained Equity Fund LP	Thomas Vercillo	Thomas Vercillo	Treasurer of the General Partner	2026-02-05
0001062993-26-000633	101	WHISPERQUAKE, INC.	/s/ Robin Weldon Cope	Robin Weldon Cope	CEO	2026-02-02
0001799746-26-000001	101	TRIVISTA FUND	Masaki Gotoh	Masaki Gotoh	Director of the Issuer	2026-02-05
0001822754-26-000001	101	TVC MATSU FUND	Masaki Gotoh	Masaki Gotoh	Director of the Issuer	2026-02-05
0002106956-26-000001	101	Cygnet Holdings LLC	Bradley Andrew Swan	Bradley Andrew Swan	President	2026-02-05
0000945621-26-000190	101	Cusana Global Emerging Markets Fund, sub-fund of Sector Investment Funds Plc	/s/ Lars Tell	Lars Tell	Director	2026-01-27
0001683168-26-000772	101	ClearPoint Neuro, Inc.	/s/ Danilo D'Alessandro	Danilo D'Alessandro	Chief Financial Officer	2026-02-05
0002106071-26-000001	101	NI-0104 Fund I, a series of Riverside Ventures, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2026-02-05
0002109319-26-000001	101	ME-0112 Fund I, a series of Tenon Ventures, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2026-02-05
0002105276-26-000001	101	JPIT-PH-1216 Fund I, a series of AngelList Funds 2025, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2026-02-05
0002109325-26-000001	101	ME-1013 Fund I, a series of Roll Up Vehicles, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2026-02-05
0002100602-26-000002	101	BL-1125 Fund III, a series of Allied Venture Partners, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2026-02-05
0002088972-26-000002	101	NI-0923 Fund IV, a series of Cannon Point Partners, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2026-02-05
0002099195-26-000002	101	RE-1118 Fund I, a series of MV Funds, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2026-02-05
0000902664-26-000707	101	Fourth Sail Long Short Offshore Fund LP	/s/ Thiago Doria	Thiago Doria	Authorized Person of the General Partner	2026-02-05
0002109045-26-000001	101	NonPublic Prediction Fund II, a Series of A Master Series, LLC	Bryan Casey	Bryan Casey	Manager	2026-02-05
0000902664-26-000706	101	Fourth Sail Long Short Onshore Fund LP	/s/ Thiago Doria	Thiago Doria	Authorized Person of the General Partner	2026-02-05
0002011251-26-000001	101	Oak Proof Fund I, LP	/stephen ochs/	Stephen Ochs	Executive Officer	2026-02-04
0002083520-26-000001	101	Green Steel Enviornmental, Inc.	/s/ Jonathan Teaford	Jonathan Teaford	President and Chief Executive Officer	2026-02-04
0002089274-26-000001	101	HRA Opportunity Fund V LLC	/S/ Timothy D. Smith	Timothy D. Smith	Manager of HRA Manager LLC, Manager of Issuer	2026-02-04
0002108354-26-000003	101	QP-GTMFUND OPPORTUNITIES FUND I, LP	/s/ Max Altschuler	Max Altschuler	Manager of the Issuers	2026-02-04
0002108354-26-000003	102	GTMFUND OPPORTUNITIES FUND I, LP	/s/ Max Altschuler	Max Altschuler	Manager of the Issuers	2026-02-04
0002055904-26-000002	101	Resynergi, Inc	PIERRE MAGNIEN	PIERRE MAGNIEN	Controller	2026-02-04
0001710701-26-000001	101	Manulife U.S. Real Estate Fund, L.P.	/s/ Jeffrey Yamashiroya	Jeffrey Yamashiroya	Vice President and Portfolio Manager of the GP of the Issuer	2026-02-02
0002109229-26-000001	101	Rentonomy, Inc.	/boyana bounkova/	Boyana Bounkova	Attorney in Fact	2026-02-04
0001809210-26-000001	101	Mojo AI, Inc.	/s/ Cory Linton	Cory Linton	Chief Executive Officer	2026-02-04
0002055904-26-000003	101	Resynergi, Inc	PIERRE MAGNIEN	PIERRE MAGNIEN	Controller	2026-02-04
0001959064-26-000002	101	PathCision Medicine, Inc.	Hui-Hsuan Wang	Hui-Hsuan Wang	Chief Executive Officer	2026-02-04
0001012975-26-000109	101	VALOR ATREIDES AI I L.P.	/s/ J. Shulkin and L. Malone	Jonathan Shulkin and Laura Malone	Authorized Persons of the GPs of the co-GPs of the Issuer.	2026-02-04
0002066738-26-000001	101	3 DAYS STUDIOS LLC	Joel Bunkowske	Joel Bunkowske	President/CEO	2026-02-04
0001012975-26-000110	101	VALOR ATREIDES AI I-B L.P.	/s/ J. Shulkin and L. Malone	Jonathan Shulkin and Laura Malone	Authorized Persons of the GPs of the co-GPs of the Issuer.	2026-02-04
0002108952-26-000001	101	ACP Debt Fund LLC	Daniel J. Costantino, Jr.	Daniel J. Costantino, Jr.	Managing Member of the Manager	2026-02-04
0002109451-26-000001	101	Alphataraxia Capital LP	Brian Kozlowski	Brian Kozlowski	General Counsel	2026-02-04
0001324427-26-000001	101	Jewel Fund, L. P.	James Schainuck	James Schainuck	Managing Principal	2026-02-04
0002108841-26-000001	101	Eighth Era Studios, Inc.	Jordan Lee	Jordan Lee	POA from Kentaro Kawamori, CEO	2026-02-04
0002050543-26-000003	101	S.G.V. Investment Fund, LLC	George Voigt	George Voigt	Manager	2026-02-04
0001231919-26-000111	101	House Holdings - HAD, L.P.	/s/ Moshe Lifschitz	Moshe Lifschitz	Managing Director of the General Partner	2026-02-04
0001969079-26-000002	101	Logica Asymmetric Trading Fund LP	Joe Tagliaferro	Joe A Tagliaferro	CEO/CCO of GP	2026-02-04
0002029321-26-000005	101	ALT Student Housing DST	Kristin Orlando	Kristin Orlando	Corporate Secretary of the Sponsor of the Issuer	2026-02-04
0002072054-26-000001	101	Christ Church Episcopal School	David Padilla	David Padilla	Head of School	2026-02-04
0002102906-26-000002	101	J2 Ventures Strategic Opportunities E, L.P.	/s/ Jonathan E. Bronson	Jonathan E. Bronson	Manager of the General Partner of the Issuer	2026-02-04
0002107609-26-000001	101	Kings Creek at Five Points Debt Investors LLC	Stephen Cope	Stephen Cope	Manager of Manager	2026-02-04
0002055904-26-000001	101	Resynergi, Inc	PIERRE MAGNIEN	PIERRE MAGNIEN	Controller	2026-02-04
0001728443-26-000005	101	Sentire Medical Systems, Inc.	David Krasne	David Krasne	CEO	2026-02-04
0000911916-26-000007	101	Alternative Markets Fund, L.P.	/s/ Donald S. Huber, Jr.	Donald S. Huber, Jr.	Managing Member of Issuer's Investment Advisor	2026-02-04
0001833078-26-000014	101	ARENA SHORT DURATION HIGH YIELD (CAYMAN) FUND, SPC - SEGREGATED PORTFOLIO A	Sanije Perrett	Sanije Perrett	Director	2026-02-04
0002067284-26-000003	101	HGGC Affiliate Investors V, L.P.	/S/ RICHARD F. LAWSON, JR.	RICHARD F. LAWSON, JR.	MNG MBR OF SOLE DIRECTOR OF GP OF GP OF ISSUER	2026-02-04
0002109464-26-000001	101	Moderne CoInvest Fund XIII - Mesh, LLC	/s/ Constance Freedman	Constance Freedman	Manager of Manager of Issuer	2026-02-04
0002109303-26-000001	101	DealVue Inc.	/s/ Tim Wolter	Tim Wolter	Director and President	2026-02-04
0000905148-26-000501	101	Harraden Circle Concentrated Offshore, LP	Frederick V. Fortmiller Jr.	Frederick V. Fortmiller Jr.	Principal of the Investment Manager	2026-02-04
0002095525-26-000001	101	Breed VC SPV IV, a series of GCRx Master LLC	Erlisa Zherka	Erlisa Zherka	Manager of Manager of Issuer	2026-02-04
0001725491-26-000001	101	New Vernon Financial Sector Fund LP	Dennis Bertron	Dennis Bertron	See Clarification Box in Item # 3	2026-02-04
0002107885-26-000001	101	Findem, Inc.	Hariharan Kolam Govindarajan	Hariharan Kolam Govindarajan	President	2026-02-04
0000905148-26-000500	101	3D Hibiki Path Aoba Onshore Fund	"Sai Fai (""Tommy"") Yip"	"Sai Fai (""Tommy"") Yip"	Chief Operating Officer & Director of the Investment Manager	2026-02-04
0002109161-26-000001	101	OA Fund VII Sidecar II, LP	/s/ David S. Reynolds	David S. Reynolds	Vice President of the Managing Member of the Issuer's GP	2026-02-04
0002079731-26-000001	101	H.I.G. EMM II Co-Investment SMA (Dhow), SCSp	/s/ Richard Siegel	Richard Siegel	Authorized Signatory by Special POA of the GP of the Issuer	2026-02-04
0002079813-26-000001	101	BAM MIPCo, LLC	/s/ Brian Bomstein	Brian Bomstein	Senior Vice President and Secretary	2026-02-04
0002108338-26-000001	101	LVC Omni Co-Invest, L.P.	Rishi Chandna	Rishi Chandna	Managing Member of the GP of the GP of the Issuer	2026-02-04
0002101160-26-000001	101	Viewpoint - Moxie SPV, LP	/s/ Andrew Aldrich	Andrew Aldrich	Managing Member of the GP of the Issuer	2026-01-30
0001669096-26-000001	101	New Vernon Matrix Fund LP	Dennis Bertron	Dennis Bertron	See Clarification Box in item # 3	2026-02-04
0000905148-26-000499	101	3D Hibiki Path Aoba Offshore Fund	"Sai Fai (""Tommy"") Yip"	"Sai Fai (""Tommy"") Yip"	Chief Operating Officer & Director of the Investment Manager	2026-02-04
0002108832-26-000001	101	Sorella Pivot Global, a series of GCRx Master LLC	Erlisa Zherka	Erlisa Zherka	Manager of Manager of Issuer	2026-02-04
0001539225-26-000003	101	Burgundy Funds, DST - Global Equity Portfolio	/s/ David Borg	David Borg	VP, Head of Operations	2026-02-04
0001519370-26-000005	101	Nine Masts Feeder Fund One	Bing Wang	Bing Wang	Director	2026-02-04
0002109181-26-000001	101	Centerlane Academy Village, LLC	/s/ Joseph W. Taylor	Joseph W. Taylor	A Manager of the Manager of the Issuer	2026-02-04
