ACCESSIONNUMBER	IS_PRIMARYISSUER_FLAG	ISSUER_SEQ_KEY	CIK	ENTITYNAME	STREET1	STREET2	CITY	STATEORCOUNTRY	STATEORCOUNTRYDESCRIPTION	ZIPCODE	ISSUERPHONENUMBER	JURISDICTIONOFINC	ISSUER_PREVIOUSNAME_1	ISSUER_PREVIOUSNAME_2	ISSUER_PREVIOUSNAME_3	EDGAR_PREVIOUSNAME_1	EDGAR_PREVIOUSNAME_2	EDGAR_PREVIOUSNAME_3	ENTITYTYPE	ENTITYTYPEOTHERDESC	YEAROFINC_TIMESPAN_CHOICE	YEAROFINC_VALUE_ENTERED
0001213900-25-094022	YES	101	0002045370	Remora Capital Corp	3200 WEST END AVENUE	SUITE 500	NASHVILLE	TN	TENNESSEE	37203	615-380-1095	MARYLAND							Corporation		withinFiveYears	2024
0002089430-25-000001	YES	101	0002089430	Merchants Capital Tax Credit Equity Fund 26, L.P.	410 MONON BLVD.		CARMEL	IN	INDIANA	46032	3177355842	INDIANA							Limited Partnership		withinFiveYears	2024
0002088911-25-000001	YES	101	0002088911	Meshflow SOL II LLC	406 N SANGAMON STREET, 3RD FLOOR		CHICAGO	IL	ILLINOIS	60642	778-363-1293	DELAWARE							Limited Liability Company		withinFiveYears	2025
0001398344-25-018702	YES	101	0001959955	Field Elevate Fund LP	105 S MANGUM ST	SUITE 201	DURHAM	NC	NORTH CAROLINA	27701	919-669-3121	DELAWARE							Limited Partnership		withinFiveYears	2022
0001929098-25-000002	YES	101	0001929098	WAVE Opportunity Fund I LP	67 BATTERYMARCH STREET, 5TH FLOOR		BOSTON	MA	MASSACHUSETTS	02110	617-350-9801	DELAWARE							Limited Partnership		withinFiveYears	2022
0000950142-25-002578	YES	101	0002086487	Davidson Kempner Talonite Fund (DI) Ltd.	C/O WALKERS CORPORATE LIMITED	190 ELGIN AVENUE	GEORGE TOWN, GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-9001	1-345-949-0100	CAYMAN ISLANDS							Corporation		withinFiveYears	2025
0002087032-25-000001	YES	101	0002087032	Bheed Inc.	999 BRICKELL AVENUE	SUITE 900	MIAMI	FL	FLORIDA	33131	56 9 9216 3574	DELAWARE							Corporation		withinFiveYears	2025
0002081710-25-000001	YES	101	0002081710	KPI Durango LLC	11193 S. REDWOOD ROAD	#102N	SOUTH JORDAN	UT	UTAH	84095	4352673272	UTAH							Limited Liability Company		withinFiveYears	2025
0002080022-25-000004	YES	101	0002080022	Black Mountain Community Corp	373 BLACK MOUNTAIN ROAD		JACKSON	NH	NEW HAMPSHIRE	03846	970-333-4050	NEW HAMPSHIRE							Corporation		withinFiveYears	2024
0002089466-25-000001	YES	101	0002089466	Navi AI, Inc.	1550 MISSION STREET, APT 4002		SAN FRANCISCO	CA	CALIFORNIA	94103	6315079642	DELAWARE							Corporation		withinFiveYears	2024
0002078956-25-000001	YES	101	0002078956	Ascent Private Co-Investment Fund IV, L.P.	2 GRAND CENTRAL TOWER	140 E. 45TH STREET, 28TH FLOOR	NEW YORK	NY	NEW YORK	10017	1-212-812-7010	DELAWARE							Limited Partnership		withinFiveYears	2025
0002087347-25-000001	YES	101	0002087347	MBM Capital Partners-NestEggRx-Baden Portfolio LLC	6644 SOUTH PRESCOTT WAY		LITTLETON	CO	COLORADO	80120	720-454-6987	OHIO							Limited Liability Company		withinFiveYears	2025
0002085469-25-000001	YES	101	0002085469	Pharsalus Capital SPV I, LP	14 WALL STREET, 20TH FLOOR		NEW YORK	NY	NEW YORK	10005	(917) 419-4745	DELAWARE							Limited Partnership		withinFiveYears	2025
0002088646-25-000001	YES	101	0002088646	Access Custom Hedge Fund Solutions Series, a series of Riverview Multi-Client Solutions (Cayman) LP	100 FRONT STREET, SUITE 400		WEST CONSHOHOCKEN	PA	PENNSYLVANIA	19428	610-260-7600	CAYMAN ISLANDS							Other	CAYMAN ISLANDS EXEMPTED LIMITED PARTNERSHIP	overFiveYears	
0001683168-25-007340	YES	101	0002088523	GFG Puntamar, LLC	701 BRICKELL AVENUE	SUITE 1400	MIAMI	FL	FLORIDA	33131	(305) 847-9770	DELAWARE							Limited Liability Company		withinFiveYears	2023
0001845947-25-000004	YES	101	0001845947	Verdata, Inc.	2870 PEACHTREE RD. NW, STE 1514		ATLANTA	GA	GEORGIA	30305	404-307-8539	DELAWARE				Verdata, LLC			Corporation		withinFiveYears	2020
0002088926-25-000001	YES	101	0002088926	Exp Eq Kudo Income LLC	3521 STONE CLIFF WAY		WOODSTOCK	GA	GEORGIA	30189	6783134958	OHIO							Limited Liability Company		withinFiveYears	2025
0002075357-25-000001	YES	101	0002075357	Cottonwood Riverfront DST	1245 BRICKYARD RD., SUITE 250		SALT LAKE CITY	UT	UTAH	84106	8012780700	DELAWARE							Other	Statutory Trust	withinFiveYears	2025
0001231919-25-000263	YES	101	0002088920	Blossom BH OpCo Inc.	169 MADISON AVE	STE 15318	NEW YORK	NY	NEW YORK	10016	256-500-8688	DELAWARE							Corporation		withinFiveYears	2024
0002087910-25-000001	YES	101	0002087910	Gaingels OPT Industries LLC	C/O GAINGELS MANAGEMENT LLC	3 MAIN STREET - SUITE 214	BURLINGTON	VT	VERMONT	05401	773 837 1889	VERMONT							Limited Liability Company		withinFiveYears	2025
0002089305-25-000001	YES	101	0002089305	Harlow & Hem Apartments LLC	330 EAST KILBOURN AVENUE	SUITE 600 SOUTH	MILWAUKEE	WI	WISCONSIN	53202	414-347-3600	WISCONSIN							Limited Liability Company		withinFiveYears	2021
0002087250-25-000001	YES	101	0002087250	Jacksonville Kingdom Multi-family LLC	976 MOUNTAIN VIEW DRIVE		CASTLE ROCK	CO	COLORADO	80104	719-413-5614	OHIO							Limited Liability Company		withinFiveYears	2025
0002089294-25-000001	YES	101	0002089294	200 King LLC	36 BROAD STREET		CHARLESTON	SC	SOUTH CAROLINA	29401	8433756622	SOUTH CAROLINA							Limited Liability Company		withinFiveYears	2025
0001012975-25-000588	YES	101	0002002714	Varde CRE Lending Fund (Offshore), L.P.	C/O VARDE PARTNERS, INC.	350 N 5TH STREET, SUITE 800	MINNEAPOLIS	MN	MINNESOTA	55401	952-893-1554	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2023
0001315863-25-000689	YES	101	0002085533	AE EventsCo Holdings LLC	8383 WILSHIRE BOULEVARD	SUITE 400	BEVERLY HILLS	CA	CALIFORNIA	90211	310.271.0300	DELAWARE							Limited Liability Company		withinFiveYears	2024
0002085971-25-000001	YES	101	0002085971	PAI Strategic Partnerships II SCSp	C/O PAI PARTNERS SARL	53 BOULEVARD ROYAL	LUXEMBOURG	N4	LUXEMBOURG	L-2449	352 26 26 97 71 78	LUXEMBOURG	Frost SCSp						Limited Partnership		withinFiveYears	2025
0002089259-25-000001	YES	101	0002089259	NORD BLA FUND IV ACCESS, LLC	168 PIONEER TRAIL #117		CHASKA	MN	MINNESOTA	55318	612-280-5503	DELAWARE							Limited Liability Company		withinFiveYears	2025
0002068047-25-000004	YES	101	0002068047	CNW Capital Fund LLC	149 Shiloh Road, Suite 9		BILLINGS	MT	MONTANA	59106	9366712627	MONTANA							Limited Liability Company		withinFiveYears	2025
0002086725-25-000001	YES	101	0002086725	Gaingels Odin Space LLC	C/O GAINGELS MANAGEMENT LLC	3 MAIN STREET - SUITE 214	BURLINGTON	VT	VERMONT	05401	773 837 1889	VERMONT							Limited Liability Company		withinFiveYears	2025
0002084537-25-000001	YES	101	0002084537	Aboite Senior Investors, LLC	12411 N. PENNSYLVANIA STREET	SUITE 300	CARMEL	IN	INDIANA	46032	317-669-8404	INDIANA							Limited Liability Company		withinFiveYears	2025
0002088194-25-000001	YES	101	0002088194	Augment Markets, Inc.	1204 SAN ANTONIO STREET	Floor 2	AUSTIN	TX	TEXAS	78701	512-270-0961	DELAWARE							Corporation		withinFiveYears	2022
0002086166-25-000001	YES	101	0002086166	Qubit Coinvestment, L.P.	C/O OCORIAN FUND SERVICES (JERSEY) LTD	26 NEW STREET	ST HELIER	Y9	JERSEY	JE2 3RA	44 1534 507264	CAYMAN ISLANDS							Other	CAYMAN ISLANDS EXEMPTED LIMITED PARTNERSHIP	withinFiveYears	2025
0002089346-25-000001	YES	101	0002089346	NAL REP Holdings, LLC	500 W. 5TH STREET	SUITE 910	WINSTON-SALEM	NC	NORTH CAROLINA	27101	(336) 733-0350	DELAWARE							Limited Liability Company		withinFiveYears	2025
0002089398-25-000001	YES	101	0002089398	Mention Platforms, Inc.	412 W RIVERS EDGE DR		PROVO	UT	UTAH	84064	253-275-8269	DELAWARE							Corporation		withinFiveYears	2024
0001986161-25-000002	YES	101	0001986161	EM Notes, LLC	91 5TH AVENUE	FLOOR 5	NEW YORK	NY	NEW YORK	10003	6468449919	DELAWARE							Limited Liability Company		withinFiveYears	2023
0002088153-25-000001	YES	101	0002088153	PC St. Cloud JV, LLC	4956 N 300 W STE 300		PROVO	UT	UTAH	84604	8013410300	DELAWARE							Limited Liability Company		withinFiveYears	2025
0001990933-25-000002	YES	101	0001990933	Paradice International Opportunities Fund, L.P.	257 FILLMORE STREET	SUITE 200	DENVER	CO	COLORADO	80206	720-751-2100	DELAWARE							Limited Partnership		withinFiveYears	2023
0002087813-25-000001	YES	101	0002087813	Pixion Batteries Inc.	900 BLACKSON AVE, #16276		AUSTIN	TX	TEXAS	78752	662-374-0722	DELAWARE							Corporation		withinFiveYears	2023
0001990777-25-000002	YES	101	0001990777	Paradice Global Opportunities Fund, L.P.	257 FILLMORE STREET	SUITE 200	DENVER	CO	COLORADO	80206	720-751-2100	DELAWARE							Limited Partnership		withinFiveYears	2023
0002037873-25-000002	YES	101	0002037873	Akari Brands Inc.	70 N 4TH STREET	APT E	BROOKLYN	NY	NEW YORK	11249	480-433-7057	DELAWARE							Corporation		withinFiveYears	2024
0002039258-25-000002	YES	101	0002039258	Treasure Coast Ventures Fund I, LP	1220 SPANISH LACE LANE		VERO BEACH	FL	FLORIDA	32963	215-882-1304	DELAWARE							Limited Partnership		withinFiveYears	2024
0002084788-25-000001	YES	101	0002084788	MAX SPACE II A SERIES OF VUVP FUND LLC	2025 GUADALUPE STREET SUITE 260		AUSTIN	TX	TEXAS	78705	8332673326	DELAWARE							Limited Liability Company		withinFiveYears	2025
0001952031-25-000002	YES	101	0001952031	Tesserakt Ventures Fund I, LP	1574 W 18TH ST		MERCED	CA	CALIFORNIA	95340	559-974-6386	DELAWARE							Limited Partnership		withinFiveYears	2022
0002089076-25-000001	YES	101	0002089076	CC Plumbing Holdings, LLC	1 E. PUTNAM AVENUE	2ND FLOOR	GREENWICH	CT	CONNECTICUT	06830	203-326-1757	DELAWARE							Limited Liability Company		withinFiveYears	2025
0001753174-25-000006	YES	101	0001753174	RCG ALPHA LONG SHORT FUND, LP	2028 E BEN WHITE BLVD	STE 550	AUSTIN	TX	TEXAS	78741	737-707-3310	DELAWARE				RCG ALPHA LONG SHORT FUND, LLC			Limited Partnership		overFiveYears	
0002088747-25-000001	YES	101	0002088747	Viking Global Opportunities Vintage IV (Offshore) LP	MAPLES AND CALDER	UGLAND HOUSE, PO BOX 309	GEORGETOWN	E9	CAYMAN ISLANDS	KY1-1104	3459498066	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2025
0002089407-25-000001	YES	101	0002089407	Apostolic Church of God-Childersburg	90 NEEDMORE CIRCLE		CHILDERSBURG	AL	ALABAMA	35044	404-918-7471	ALABAMA							Corporation		withinFiveYears	2025
0000929638-25-003687	YES	101	0002034377	PGIF V USD Feeder (Luxembourg) SCSp	15, BOULEVARD F.W. RAIFFEISEN		LUXEMBOURG	N4	LUXEMBOURG	L-2411	415-249-6200	LUXEMBOURG							Limited Partnership		withinFiveYears	2024
0001749418-25-000002	YES	101	0001749418	Axenic Health Solutions, Inc.	1020 WINDHAVEN ROAD		LIBERTYVILLE	IL	ILLINOIS	60048	8479030799	DELAWARE							Corporation		overFiveYears	
0002081111-25-000018	YES	101	0002075851	Tantauco II Fund LP	EDUARDO MARQUINA 3992		VITACURA	F3	CHILE	7630304	01156942063267	DELAWARE							Limited Partnership		withinFiveYears	2025
0002089078-25-000001	YES	101	0002089078	CC Plumbing Investment, LLC	1 E. PUTNAM AVENUE	2ND FLOOR	GREENWICH	CT	CONNECTICUT	06830	203-326-1757	DELAWARE							Limited Liability Company		withinFiveYears	2025
0002088644-25-000001	YES	101	0002088644	WMA US Large Cap Enhanced Equity Offshore Fund, Ltd.	399 PARK AVENUE		NEW YORK	NY	NEW YORK	10022	212-841-4100	CAYMAN ISLANDS							Other	Exempted Company	withinFiveYears	2025
0000950142-25-002573	YES	101	0001994112	Palladium Equity Partners VI, L.P.	1270 AVENUE OF THE AMERICAS	31ST FLOOR	NEW YORK	NY	NEW YORK	10020	212-218-5150	DELAWARE							Limited Partnership		withinFiveYears	2023
0002088740-25-000001	YES	101	0002088740	Viking Global Opportunities Vintage IV (Onshore) LP	600 WASHINGTON BOULEVARD	11TH FLOOR	STAMFORD	CT	CONNECTICUT	06901	2126727039	DELAWARE							Limited Partnership		withinFiveYears	2025
0002087085-25-000001	YES	101	0002087085	Gaingels Slingshot Aerospace LLC	C/O GAINGELS MANAGEMENT LLC	3 MAIN STREET - SUITE 214	BURLINGTON	VT	VERMONT	05401	773 837 1889	VERMONT							Limited Liability Company		withinFiveYears	2025
0002088645-25-000001	YES	101	0002088645	WMA US Large Cap Enhanced Equity Onshore Fund LP	399 PARK AVENUE		NEW YORK	NY	NEW YORK	10022	212-841-4100	DELAWARE							Limited Partnership		withinFiveYears	2025
0002088900-25-000001	YES	101	0002088900	Stuart Shaw Family Partnership LP	901 S MOPAC EXPRESSWAY, BLDG V, STE 100		AUSTIN	TX	TEXAS	78746	5129252266	TEXAS							Limited Partnership		overFiveYears	
0000905148-25-003451	YES	101	0002085075	SSO II E&F, LLC	2211 Michelson Drive, Suite 620		Irvine	CA	CALIFORNIA	92612	949-255-2699	DELAWARE							Limited Liability Company		withinFiveYears	2025
0001437749-25-030097	YES	101	0001754226	Orange County Bancorp, Inc. /DE/	212 Dolson Avenue		Middletown	NY	NEW YORK	10940	8453415000	DELAWARE							Corporation		overFiveYears	
0002038296-25-000003	YES	101	0002038296	ARKVIEW CAPITAL CO-INVEST III LP	198 HICKORY LN		CLOSTER	NJ	NEW JERSEY	07624	9176237736	DELAWARE							Limited Partnership		withinFiveYears	2024
0000905148-25-003450	YES	101	0002085081	SDOF III E&F, LLC	2211 Michelson Drive, Suite 620		Irvine	CA	CALIFORNIA	92612	949-255-2699	DELAWARE							Limited Liability Company		withinFiveYears	2025
0002084076-25-000001	YES	101	0002084076	Proven Proteins Inc.	5200 E COUNTY RD. 600 N		MILAN	IN	INDIANA	47031	(812) 212-4836	DELAWARE							Corporation		withinFiveYears	2025
0002089385-25-000001	YES	101	0002089385	Harmoney SnowBall LP	4101 Dublin Blvd	Suite F #33	Dublin	CA	CALIFORNIA	94568	925-420-4270	DELAWARE							Limited Partnership		withinFiveYears	2025
0001992500-25-000005	YES	101	0001992500	Lion Rock Resources Inc.	200 BURRARD STREET, SUITE 1615		VANCOUVER	A1	BRITISH COLUMBIA, CANADA	V6C 3L6	604 678 5308	BRITISH COLUMBIA, CANADA	King's Bay Resources Corp.						Corporation		overFiveYears	
0002087736-25-000001	YES	101	0002087736	Wingra Capital Fund, LLC - Series G Units	345 WEST WASHINGTON AVE, SUITE 201		MADISON	WI	WISCONSIN	53703	608-332-8434	WISCONSIN							Limited Liability Company		withinFiveYears	2025
0000905148-25-003449	YES	101	0002085084	SSO (Parallel) II E&F, LLC	2211 Michelson Drive, Suite 620		Irvine	CA	CALIFORNIA	92612	949-255-2699	DELAWARE							Limited Liability Company		withinFiveYears	2025
0002089389-25-000001	YES	101	0002089389	Redwood Perrysburg Lime City Road OH P1 LLC	7007 E. PLEASANT VALLEY ROAD		INDEPENDENCE	OH	OHIO	44131	2163609441	OHIO							Limited Liability Company		withinFiveYears	2024
0001315863-25-000688	YES	101	0002082394	Occudo Beacon Cayman Fund Ltd.	500 E BROWARD BLVD	SUITE 1720	FORT LAUDERDALE	FL	FLORIDA	33394	917-979-2817	CAYMAN ISLANDS							Other	Cayman Islands exempted company	withinFiveYears	2025
0000919574-25-005898	YES	101	0002058595	AgentSmyth Inc.	32 OLD SLIP, SUITE 504		NEW YORK	NY	NEW YORK	10005	(917) 826-9949	DELAWARE							Corporation		withinFiveYears	2024
0002076514-25-000001	YES	101	0002076514	Landwise Fund I, LLC	327 W HAWTHORNE CT		LAKE BLUFF	IL	ILLINOIS	60044	(269) 217-3457	DELAWARE							Limited Liability Company		withinFiveYears	2025
0001315863-25-000687	YES	101	0002082395	Occudo Beacon US Fund LP	500 E BROWARD BLVD	SUITE 1720	FORT LAUDERDALE	FL	FLORIDA	33394	917-979-2817	DELAWARE							Limited Partnership		withinFiveYears	2025
0000919574-25-005896	YES	101	0002058595	AgentSmyth Inc.	32 OLD SLIP, SUITE 504		NEW YORK	NY	NEW YORK	10005	(917) 826-9949	DELAWARE							Corporation		withinFiveYears	2024
0002080562-25-000001	YES	101	0002080562	Power Grid Enterprises, Inc.	242 W. VALLEY AVENUE		BIRMINGHAM	AL	ALABAMA	35209	205-613-0188	DELAWARE							Corporation		withinFiveYears	2025
0001913442-25-000002	YES	101	0001913442	Azak, Inc.	3887 Steele Street	Suite 1112	DENVER	CO	COLORADO	80205	720-939-0678	DELAWARE							Corporation		withinFiveYears	2021
0001979660-25-000003	YES	101	0001979660	Tethon Corp	5078 SOUTH 111TH ST		OMAHA	NE	NEBRASKA	68137	402.639.7483	NEVADA							Corporation		overFiveYears	
0002088901-25-000001	YES	101	0002088901	Bo Tree Total Return Fund, LP	C/O Bo Tree Funds, LLC	626 RXR PLAZA, 6TH FLOOR	UNIONDALE	NY	NEW YORK	11556	(608) 692-2544	DELAWARE							Limited Partnership		withinFiveYears	2025
0002086959-25-000001	YES	101	0002086959	First Eagle Senior Debt Fund LP	500 Boylston Street	Suite 1200	Boston	MA	MASSACHUSETTS	02116	(800) 450-4424	ONTARIO, CANADA							Limited Partnership		withinFiveYears	2025
0002087575-25-000002	YES	101	0002087575	PCIP I BE Coinvest, LP	1111 W. 6TH STREET	BLDG. A SUITE 200	AUSTIN	TX	TEXAS	78703	512-610-2910	DELAWARE							Limited Partnership		withinFiveYears	2025
0002082643-25-000001	YES	101	0002082643	Salem Shout 2025 Investors, LLC	11111 SANTA MONICA BLVD, SUITE 2250		LOS ANGELES	CA	CALIFORNIA	90025	310-806-4203	DELAWARE							Limited Liability Company		withinFiveYears	2025
0002088235-25-000001	YES	101	0002088235	OCM PW Lambda LLC	401 NORTH MICHIGAN AVENUE	SUITE 650	CHICAGO	IL	ILLINOIS	60611	614-257-7572	DELAWARE							Limited Liability Company		withinFiveYears	2025
0002080830-25-000001	YES	101	0002080830	97 CROSS A SERIES OF VUCP FUND LLC	2025 GUADALUPE STREET SUITE 260		AUSTIN	TX	TEXAS	78705	8332673326	DELAWARE							Limited Liability Company		withinFiveYears	2025
0002088871-25-000001	YES	101	0002088871	SPRE Rosemary, LLC	3790 VIA DE LA VALLE	SUITE 311	DEL MAR	CA	CALIFORNIA	92014	(858) 480-1118	DELAWARE							Limited Liability Company		withinFiveYears	2025
0001792606-25-000003	YES	101	0001792606	DRS Holdings I, Inc.	255 STATE STREET		BOSTON	MA	MASSACHUSETTS	02109	617-500-6340	DELAWARE							Corporation		overFiveYears	
0002087935-25-000002	YES	101	0002087935	ARCANE ASSETS GROUP LLC	301 AUGUSTA STREET	UNIT 302	GREENVILLE	SC	SOUTH CAROLINA	29601	0000000000	DELAWARE							Limited Liability Company		withinFiveYears	2025
0001724977-25-000010	YES	101	0001724977	OPEN DOORS PARTNERS, LLC	219 LINDENBROOK ROAD		WOODSIDE	CA	CALIFORNIA	94062	4083949684	DELAWARE							Limited Liability Company		overFiveYears	
0001800310-25-000002	YES	101	0001800310	Radwave Technologies Inc.	1000 WESTGATE DRIVE	Suite 240	ST. PAUL	MN	MINNESOTA	55114	612-567-1274	DELAWARE				RadWave Technologies Inc.			Corporation		overFiveYears	
0001742577-25-000006	YES	101	0001742577	AdaptX, Inc.	837 N 34th St.	Suite 350	SEATTLE	WA	WASHINGTON	98103	2532603980	DELAWARE				AdeptX, Inc.	MDmetrix, Inc.	MDMetrix, Inc.	Corporation		overFiveYears	
0002039242-25-000002	YES	101	0002039242	ABR Chesapeake Investors VII Limited Partnership	100 LIGHT STREET	SUITE 2400	BALTIMORE	MD	MARYLAND	21202	4105473034	DELAWARE							Limited Partnership		withinFiveYears	2024
0001742577-25-000005	YES	101	0001742577	AdaptX, Inc.	837 N 34th St.	Suite 350	SEATTLE	WA	WASHINGTON	98103	2532603980	DELAWARE				AdeptX, Inc.	MDmetrix, Inc.	MDMetrix, Inc.	Corporation		overFiveYears	
