company_name,industry,website,city,state,zip_code,phone,year_incorporated,company_age_years,executive_officers,board_directors,total_funding,latest_funding_amount,latest_funding_stage,latest_funding_date,Total Approvals,Total Denials,Approval_Rate,median_salary_offered,top_job_titles_sponsored
1052 PARTNERS LLC,Other Technology,,CHICAGO,IL,60631,(844) 522-3343,2016.0,9.0,"Austin Fox, Tim Rowley","Bryan J. Hooker, J. Labor Twenty-Four LLC, J. RLJ Holdings, LLC",1500000.0,1500000.0,Pre-Seed,2017-04-19,,,,,
1080 LORIMER MEZZ INVESTORS LP,Other Banking and Financial Services,,NEW YORK,NY,10028,(646) 795-6977,2021.0,4.0,"Evan Bell, Ilan Rubinstein",,7440000.0,7440000.0,Series A,2021-06-03,,,,,
1080 NETWORK INC,Other Technology,1080network.com,Bee Cave,TX,78738,(415) 940-1065,2020.0,5.0,"Christopher Petersen, Michael Ward","Chris Gagnon, Christopher Petersen, David Clfiton, David Clifton, Michael Ward, Paul England, Tim Kuchlein",35500000.0,6000000.0,Pre-Seed,2025-03-26,,,,,
10BEAUTY INC,Other,10beauty.co,NEW YORK,NY,10014,(917) 612-0114,,,Justin Effron,"Alexander Shashou, Chris Casey, Kelly Dill, Mo Koyfman",23999942.0,23999942.0,Series B,2023-12-08,,,,,
10TALES INC,Other Technology,10tales.com,MENLO PARK,CA,94025,(650) 489-5857,2014.0,11.0,David Russek,Jeremy Levine,1250000.0,1250000.0,Pre-Seed,2014-12-10,,,,,
11 HONORE INC,Other,11honore.com,LOS ANGELES,CA,90046,(415) 577-3878,2017.0,8.0,Patrick Herning,"Dana Reed Settle, Kathryn Reed Retzer, Medha Reed Agarwal",14872081.0,11372081.0,Series A,2018-03-09,,,,,
11 RONIIN LLC,Other Technology,,Chicago,IL,60611,(312) 834-3522,2014.0,11.0,"Paul Lee, Russ Fradin, Sam Yagan",,10000000.0,10000000.0,Pre-Seed,2016-02-11,,,,,
111 COMMERCIAL COURT INVESTORS LP,Other,,SANTA BARBARA,CA,93101,(805) 456-5100,2017.0,8.0,"Andrew Firestone, Associates, LLC 111 Commercial Court, Court Associates, LLC 111 Commercial, Jess Parker",,6908063.0,4908063.0,Seed,2024-10-24,,,,,
112 CAPITAL HH LLC,Other,,BELMONT,CA,94002,(415) 787-5112,2020.0,5.0,Shelley Zhuang,,7500000.0,7500000.0,Series A,2020-12-23,,,,,
112 VENTURES LLC,Investing,112ventures.com,Highland Park,IL,60035,(847) 997-0077,2020.0,5.0,"DMITRY EDWARD VALBE, GARY EDWARD SCHEIER, Kurt Nels Johnson",,100000000.0,100000000.0,Pre-Seed,2020-10-21,,,,,
1125 GARDEN STREET HOTEL INVESTORS LP,Other,,SANTA BARBARA,CA,93101,(805) 451-5100,2023.0,2.0,"Andrew Firestone, Hotel Associates, LLC 1125 Garden Street, Jess Parker",,10000000.0,10000000.0,Series A,2023-02-17,,,,,
1136 31ST AVE S LLC,Other,,SEATTLE,WA,98101,(206) 931-2535,2018.0,7.0,MATTHEW GARRETT HERRON,,1250000.0,1250000.0,Pre-Seed,2018-03-27,,,,,
1155 ISLAND AVENUE LLC,Other,,NEW YORK,NY,10022,(212) 284-4300,2014.0,11.0,"R. Barry McComic, Thomas K. Wright","Francis Blair, Frederick Chin, James McGinley",55989485.0,55989485.0,Series C,2014-12-11,,,,,
1200 PHARMA LLC,Other Technology,,PASADENA,CA,91101,(626) 548-8304,2017.0,8.0,"DAVID LICATA, David Licata, LEE SAILOR, Lee Sailor",,18000000.0,5500000.0,Series A,2019-11-26,,,,,
122UP VENTURE LLC,Investing,,SANTA CLARA,CA,95054,(415) 601-8079,2022.0,3.0,"Junguang Pan, Wei Guo",,2750000.0,2750000.0,Seed,2022-09-01,,,,,
123 SEE INC,Other Technology,123see.com,BOSTON,MA,2109,(937) 232-8922,2021.0,4.0,"JACK MOLDAVE, Jack Moldave, MATTHIAS HOFMANN, Matthias Hofmann","AXEL BICHARA, Axel Bichara, CAITLIN DONOVAN",30429921.0,22144918.0,Series B,2025-07-01,,,,,
1251 CAPITAL GROUP INC,Other Banking and Financial Services,1251capitalgroup.com,BOSTON,MA,2116,(617) 273-9482,2014.0,11.0,"Charles A. Brizius, Christopher A. R. Maguire, Christopher J. Maguire, John T Hailer, Matthew A. Paul, Michael A. R. Wilson","Edmund F. Garno III, James J. Maguire, Michael D. Hankin, P. Andrews McLane, Sean S. Sweeney",450000000.0,50000000.0,Series B,2022-07-14,,,,,
128 MAIN STREET LLC,Lodging and Conventions,,CONCORD,MA,1742,(978) 369-4884,2013.0,12.0,"John B. Amaral, John P. Nicholson, Peter B. Twachtman",,9000000.0,9000000.0,Series A,2017-04-28,,,,,
128 TECHNOLOGY INC,Other Technology,128technology.com,BURLINGTON,MA,1803,(781) 203-8400,2014.0,11.0,"Andrew D. Ory, Julio E. Vega, Julio J. Vega, Patrick D. MeLampy, Patrick J. MeLampy","Robert C. Hower, Sonja C. Perkins",112684401.0,20000000.0,Series B,2020-05-20,,,,,
12TH AVE LENDERS LLC,Other,,ISSAQUAH,WA,98027,(425) 677-8574,2016.0,9.0,Kurt Ursich,,6950000.0,6950000.0,Series A,2016-12-20,,,,,
13011 WIRE RD LP,Other,,AUSTIN,TX,78731,(512) 750-5844,2017.0,8.0,Jonathan Patton,,1150000.0,1150000.0,Pre-Seed,2017-05-19,,,,,
13030 CAPE LP,Other,,SAN ANTONIO,TX,78230,(949) 296-7502,2022.0,3.0,"Arleen Garza, Jacob Garza",,,,,,,,,,
1366 TECHNOLOGIES INC,Other Technology,1366.com,BEDFORD,MA,1730,(781) 861-1611,,,Franciscus J.A. van Mierlo,"Amir J.A. Nashat, Bill J.A. Burgess, Bruce J.A. Sohn, Carmichael J.A. Roberts, Reidar J.A. Langmo, Robert J.A. Metcalfe, Yasheng J.A. Huang",62079668.0,18056354.0,Series B,2019-12-02,,,,,
13G30 LONDON LTD LIABILITY CO,Other,,BROOKLYN,NY,11217,(646) 779-4882,2025.0,0.0,Tom de Keyser,,,,,,,,,,
140 DEARBORN LLC,Other Technology,,CHICAGO,IL,60603,(630) 881-5737,2014.0,11.0,"ALAN SAVAGE, EDWARD HENNESSY, JAMES ROACH, MICHAEL HELFAND, THOMAS HENNESSY",,,,,,,,,,
14032 LLC,Other,14032.com,NAPA,CA,94558,(707) 224-6104,2010.0,15.0,"David Knudsen, John Kelly, Mark Nelson",,5000000.0,3000000.0,Pre-Seed,2015-09-22,,,,,
14NER ONCOLOGY INC,Other Health Care,14neroncology.com,NEW YORK,NY,10106,(212) 651-6380,2019.0,6.0,"Shawn Leland, Steven Elms","Lori Hu, Michael Caldwell",30000000.0,30000000.0,Series A,2019-07-12,,,,,
14TH AMENDMENT LTD LIABILITY CO,Other,,NEW YORK,NY,10036,(212) 768-8255,2019.0,6.0,"AARON GLICK, DIANA DIMENNA, MATTHEW ROSS",,,,,,,,,,
14TH STREET PRODUCTIONS LLC,Other,,NEW YORK,NY,10036,(212) 575-0828,2018.0,7.0,David Binder,,3850000.0,3850000.0,Pre-Seed,2019-01-30,,,,,
1508 STATE LLC,Investing,1508state.com,CHICAGO,IL,60657,(773) 857-0197,2020.0,5.0,Zev Salomon,,2150000.0,2150000.0,Seed,2023-02-10,,,,,
150W25 LLC,Other,,NEW YORK,NY,10168,(917) 528-1814,2025.0,0.0,"Gabriella Desposito, Jeffrey Carlson",Barkhouse LLC,1200000.0,1200000.0,Pre-Seed,2025-07-14,,,,,
151 N CHESTNUT HOLDINGS LLC,Other,,NEW YORK,NY,10010,(201) 543-1313,2025.0,0.0,"Charles Wortmann, Joseph Deegan, Nathan Kanney",,,,,,,,,,
1560 SHERMAN ST APARTMENTS LLC,Other,,AUSTIN,TX,78731,(949) 296-7502,2022.0,3.0,"Mark Hentemann, Matthew Ross, Nicholas Ameluxen",,,,,,,,,,
15FIVE INC,Other,15five.com,San Francisco,CA,94123,(415) 967-3483,,,David Hassell,"Brent Hill, Matthew Cowan, Shane Metcalf",42494624.0,30700007.0,Series B,2019-06-17,,,,,
16 PINS INC,Other Technology,,BOSTON,MA,2210,(310) 999-9145,2015.0,10.0,Patrick Kinsel,,2500000.0,2500000.0,Pre-Seed,2015-05-06,,,,,
16 QUIET BARS UPTOWN LTD LIABILITY CO,Other,,NEW YORK,NY,10036,(212) 220-3590,2019.0,6.0,"INC. INC. OLD 320 SYCAMORE, LIMITED LIABILITY COMPANY 16 QUIET BARS DOWNTOWN, MIRANDA, LLC VIAJES, PGM, LLC ARS NOVA, PRODUCTIONS, INC. JILL FURMAN",,,,,,,,,,
1601 STATE STREET HOTEL INVESTORS LP,Lodging and Conventions,,SANTA BARBARA,CA,93101,(805) 456-5100,,,"Andrew Firestone, Hotel Associates LLC 1601 State Street, Jess Parker",,31178769.0,7000000.0,Series A,2022-02-09,,,,,
1601 WOODED PINE LLC,Other,,SAN ANTONIO,TX,78230,(949) 296-7502,2019.0,6.0,"Arlene Garza, Jacob Garza",,,,,,,,,,
1620 HEWITT LENDERS LLC,Other,,ISSAQUAH,WA,98027,(425) 677-8574,2015.0,10.0,Kurt Ursich,,1260000.0,1260000.0,Pre-Seed,2015-09-30,,,,,
1620 WORKWEAR INC,Other,,NEWBURYPORT,MA,1950,(978) 289-7688,2016.0,9.0,Edward DeInnocentis,Joshua Walker,1250000.0,1250000.0,Pre-Seed,2020-10-14,,,,,
16339 STUEBNER LLC,Other,,SAN ANTONIO,TX,78230,(949) 296-7502,2022.0,3.0,"Arleen Garza, Jacob Garza",,,,,,,,,,
1661 INC,Other,1661.ai,CULVER CITY,CA,90232,18884782857,,,"Daishin Sugano, Edward Lu","Adam Bain, Damany Weir, Danny Rimer, Greg Bettinellil, Josh Hannah",60000026.0,60000026.0,Series C,2018-02-05,,,,,
1667 ALLESANDRO LLC,Investing,,WEST HOLLYWOOD,CA,90046,(323) 822-2378,2021.0,4.0,,Demitri Samaha,3000000.0,3000000.0,Seed,2024-02-29,,,,,
1720 CRESTDALE LLC,Other,,SAN ANTONIO,TX,78230,(949) 296-7502,2022.0,3.0,"Arleen Garza, Jacob Garza",Rebecca Treanor,12000000.0,12000000.0,Seed,2022-03-17,,,,,
180 LIFE SCIENCES CORP,Other,180lifesciences.com,PALO ALTO,CA,94306,(650) 507-0669,2016.0,9.0,"Blair Jordan, James N. Woody, Ozan N. Pamir","Donald A. McGovern, Francis A. Knuettel, Jay Goodman, Larry N. Gold, Lawrence N. Steinman, Lawrence Steinman, Marc N. Feldmann, Pamela A. Marrone, Ryan Smith, Stephen Shoemaker",29558200.0,2892000.0,Seed,2024-12-30,,,,,
1800 ST JOSEPH LLC,Other,,SAN ANTONIO,TX,78230,(949) 296-7502,2021.0,4.0,"Arleen Garza, Jacob Garza, Michael Guthrie, Samantha Guthrie",,11000000.0,11000000.0,Series A,2021-12-29,,,,,
1802 BERENICE LLC,Other,,CHICAGO,IL,60625,(425) 241-0185,2022.0,3.0,"Matt Wilbur, Patrick Landrosh, Patrick O'Connell",,,,,,,,,,
181 INVESTORS LLC,Other,,SEATTLE,WA,98104,(206) 436-7760,2017.0,8.0,"Dan Madsen, Judy Marczewski, Scott Billbe",,6060622.0,6060622.0,Series A,2018-01-24,,,,,
1847 HOLDINGS LLC,Other,,NEW YORK,NY,10022,(212) 521-4052,,,"Ellery W. Roberts, Eric A. Vandam, Eric L. VanDam, Glyn C. Milburn, Vernice L. Howard","Clark R Crosnoe, Lawrence X. Taylor, Michelle A. Chow-Tai, Paul A. Froning, Robert D. Barry, Tracy S. Harris",24300324.0,11424000.0,Series A,2024-12-16,,,,,
1859 INC,Biotechnology,1859.co,San Diego,CA,92121,(562) 522-2882,2019.0,6.0,"Andrew MacConnell, Devon Cayer","Dan Faro, John Drewry, Lily Li, Paul Conley",53063735.0,39999995.0,Series B,2021-11-17,,,,,
18ANGLES CORP,Other,,SEATTLE,WA,98109,(425) 269-7537,2015.0,10.0,"John SanGiovanni, Sean B House",,2502240.0,2502240.0,Pre-Seed,2016-01-14,,,,,
19 ELEVEN WACO LLC,Other,,OAKLAND,CA,94611,(510) 467-0680,2021.0,4.0,"Douglas Harman, Paul Kazanofski, Xiaofeng Harman",,1700000.0,1700000.0,Pre-Seed,2021-11-24,,,,,
1908 RANDY SNOW ROAD LLC,Other,,SOUTHLAKE,TX,76092,(949) 296-7502,2019.0,6.0,"John Monteiro, Shakti C?Ganti",,,,,,,,,,
1910 GENETICS INC,Biotechnology,1910genetics.com,CAMBRIDGE,MA,2139,(617) 416-1382,2018.0,7.0,Jennifer O. Nwankwo,"Jory O. Bell, Marc O. Foster, Samir O. Kumar",25709907.0,25709907.0,Series B,2021-01-29,,,,,
1922 APPAREL LLC,Other,1922apparel.com,BRYAN,TX,77807,(979) 204-5652,2021.0,4.0,Clint Barrett Dempsey,"Randall Charles McMullen, Jr., Robert LaVaughn Davis",2500000.0,2500000.0,Seed,2021-10-31,,,,,
19340 FILM CIRCLE I LLC,Other,,NEW YORK,NY,10012,(646) 279-1225,2017.0,8.0,Sharon Chang,,1500000.0,1500000.0,Pre-Seed,2017-06-07,,,,,
1960 EMERGENCY CENTER LLC,Hospitals and Physicians,,Houston,TX,77077,8326993777 Ext 110,2016.0,9.0,,". AZM Asset Management, LP, . Hannan Tabassum Family, LP, . KKLH Investments, LP",,,,,,,,,
19762 SR 20 LLC,Other,,LANGLEY,WA,98260,(206) 940-7836,2021.0,4.0,Charles Walsh,,1200000.0,1200000.0,Pre-Seed,2021-08-06,,,,,
1AND8 INC,Other,1and8.co,NEW YORK,NY,10013,(516) 500-7270,2017.0,8.0,"Gabrielle Yacoob, Manish Vora, Maryellis Bunn",William McClelland,60000000.0,60000000.0,Series A,2019-08-06,,,,,
1FORT INC,Other Technology,1fort.com,NEW YORK,NY,10021,(646) 389-0780,2021.0,4.0,"Anthony Marshi, Toby Hei Nok Hung",,9853517.0,9853517.0,Series A,2025-01-10,,,,,
1HEALTHIO INC,Other Health Care,,SAN FRANCISCO,CA,94105,(650) 207-9189,,,Mehdi Maghsoodnia,"Mostafa Ronaghi, Neil Hunt, Reza Malek, Shantanu Agrawal",7589805.0,7589805.0,Series A,2023-07-10,,,,,
1LIFE HEALTHCARE INC,Hospitals and Physicians,1lifehealthcare.com,San Francisco,CA,94104,(415) 658-6792,,,"Amir Dan Rubin, Paul S. Kirincich, Thomas H. Lee","Brian S. Bouma, Bruce S. Dunlevie, Bruce W. Dunlevie, David B. Singer, David M. Kennedy, Jeremy B. Green, Krishna B. Yeshwant, Ram M. Jagannath, Thomas H. Lee",290499961.0,249999991.0,Series D+,2018-08-21,2.0,0.0,100.0,108181.0,['Senior Data Engineer']
1M INC,Other Technology,,NEW YORK,NY,10016,(646) 450-0318,2024.0,1.0,"Christopher Giuliano, Jeffrey Ellis",Scott Nordlund,9662456.0,9662456.0,Series A,2024-08-20,,,,,
1ST & TNTH INC,Other,,HIGHLAND PARK,IL,60035,(412) 652-5438,2019.0,6.0,Ryan Mundy,Mike Asem,1100000.0,1100000.0,Pre-Seed,2020-10-29,,,,,
1ST AMERICAN NUCLEAR CO,Other Energy,,RICHLAND,WA,99352,(833) 736-8841,2025.0,0.0,Nicholas Burnett,,7500000.0,5000000.0,Pre-Seed,2025-08-15,,,,,
1ST PERSON INC,Other Technology,1stperson.com,COARSEGOLD,CA,93614,(559) 903-2763,2019.0,6.0,Greg Millar,,2000000.0,2000000.0,Pre-Seed,2019-06-01,,,,,
1UP CORP,Other Technology,1up.io,REGO PARK,NY,11374,(929) 338-9314,2021.0,4.0,"George Avetisov, Manoj Abraham",Kobie Fuller,8622291.0,8622291.0,Series A,2024-12-27,,,,,
1UPHEALTH INC,Other Technology,1uphealth.com,BOSTON,MA,2110,18883447187,2017.0,8.0,"Eden Scott Avraham-Katz, John Scott Lambrecht, Joseph Scott Gagnon, Ritwik Sahu","David Scott Jegan, David Scott Jegen, Doug Scott Williams, Joseph Scott Gagnon, Lee Scott Mooney, Ritwik Sahu, T. Scott Law, Jr., Victor Scott Echevarria",80358002.0,45000002.0,Series C,2023-04-03,12.0,0.0,100.0,127500.0,['Senior Software Engineer']
1WORLD ONLINE INC,Other Technology,1worldonline.com,SAN JOSE,CA,95113,(408) 717-0470,2011.0,14.0,"Alex Fedosseev, Brad Kayton, Damien Leostic, Ekaterina Kourtseva","David Schlesinger, Kyoko Watanabe, Neil Devlin, Vladimir Tyurenkov",20705104.0,5500000.0,Seed,2016-12-23,,,,,
2014 SUPER DUPER LLC,Other,,SAN FRANCISCO,CA,94123,(415) 550-8626,2014.0,11.0,Adriano Paganini,,2500000.0,2500000.0,Seed,2014-10-08,,,,,
2020 INC,Other Health Care,2020.com,BOSTON,MA,2127,(206) 601-9374,2013.0,12.0,Howard Bornstein,"Dylan M. Hardy, Jason Dinges, John M. Connolly, Mark M. Weikel, RoAnn Costin, Stephanie M. O'Brien",18128220.0,7828266.0,Seed,2018-06-14,,,,,
2025 GREENWOOD & CAVALIER PEPELWERK LP,Computers,,DALLAS,TX,75205,(214) 559-0630,2025.0,0.0,Joel ciarochi,,1500000.0,1500000.0,Pre-Seed,2025-04-01,,,,,
2030 LLC,Other,2030.com,NEW YORK,NY,10036,(646) 490-0085,2014.0,11.0,John Boston,,,,,,,,,,
20333 NORMANDIE PV LLC,Other Energy,,DANA POINT,CA,92629,(949) 308-1049,2018.0,7.0,,"James Musselman, Mark Milius",4914140.0,4914140.0,Seed,2019-09-20,,,,,
20701 PLUMMER PV LLC,Other Energy,,DANA POINT,CA,92629,(949) 308-1049,2018.0,7.0,,"James Musselman, Mark Milius",3118358.0,3118358.0,Seed,2019-10-15,,,,,
212GAMING LLC,Other Technology,,NEW YORK,NY,10016,(646) 660-9409,,,"Graham Gullans, Nikhil Pai, Nirav Patel",Neal Shenoy,1000000.0,1000000.0,Pre-Seed,2014-11-10,,,,,
2155-2175 BAIRD PSI LLC,Investing,,ELGIN,IL,60123,(847) 220-0990,2023.0,2.0,,"Daniel Corrado, Richard Panichi",1150000.0,1150000.0,Pre-Seed,2023-05-11,,,,,
2175 OZINGA CISA GORIS LLC,Investing,,ELGIN,IL,60123,(847) 220-0990,2022.0,3.0,,"Daniel Corrado, Richard Panichi",1450000.0,1450000.0,Pre-Seed,2022-10-31,,,,,
21ST CENTURY TOWN LLC,Other,21stcenturytown.com,NEW YORK,NY,10005,(212) 230-1300,2013.0,12.0,,,,,,,,,,,
22 CHAPEL INVESTORS QOF LLC,Investing,,NEW YORK,NY,10003,(646) 290-9248,2022.0,3.0,,"Manager LLC Delshah Chapel, Michael Shah",17349000.0,17349000.0,Series B,2022-08-25,,,,,
2202 SONCY ROAD LLC,Lodging and Conventions,,AMARILLO,TX,79101,(806) 342-4700,2021.0,4.0,"Amjad Alan Abdullat, T. Alan Rhodes, T. Kevin Nelson",,5000000.0,5000000.0,Pre-Seed,2021-04-28,,,,,
22ND CENTURY GROUP INC,Biotechnology,22ndcenturygroup.com,Buffalo,NY,14204,(716) 270-1523,,,"Henry NMN Sicignano, III, Hugh A. Kinsman, JAMES A MISH, JOHN A FRANZINO, James A. Mish, John A. Franzino, John T. W. Brodfuehrer, Joseph NMN Pandolfino, MICHAEL A ZERCHER, Michael A. Zercher, Michael R. Moynihan, RICHARD A FITZGERALD, STEVEN A PRZYBYLA, Steven A. Przybyla, Thomas L. James","ANTHONY B. JOHNSON, Anthony B. Johnson, CLIFFORD B. FLEET, James W. Cornell, Joseph Alexander Dunn, MICHAEL B. KOGANOV, Michael B. Koganov, NORA B. SULLIVAN, Nora B. Sullivan, RICHARD M. SANDERS, ROGER D. O'BRIEN, Richard M. Sanders, Roger D. O'Brien",103003009.0,35000009.0,Series B,2022-07-21,,,,,
2300 FAIRVIEW AVE E LLC,Other,,SEATTLE,WA,98101,(206) 436-2347,2017.0,8.0,MATT HERRON,"DANIEL TEMKIN, JAMES KEMMERER",3765000.0,3765000.0,Seed,2017-12-05,,,,,
23ANDME INC,Other Technology,23andme.com,Sunnyvale,CA,94086,(650) 938-6300,,,"Andrew Page, Anne Wojcicki, Dean L. Schorno, Kathy Hibbs, Kathy L. Hibbs, Steven Schoch","Esther Dyson, Esther S. Dyson, Neal Mohan, Neal S. Mohan, Patrick Chung, Patrick S. Chung, Richard Scheller, Roelof Botha, Roelof L. Botha",784999943.0,85000000.0,Series C,2020-12-09,52.0,2.0,96.29629629629628,183195.0,"['Technical Lead', 'Lead BI Engineer', 'Sr. Software Engineer III', 'Sr. Mobile Engineer III', 'Offensive Security Engineer']"
24 HOUR HOLDINGS I CORP,Other,,NEW YORK,NY,10103,(212) 644-5900,2014.0,11.0,"Alexandre L. Mehfar, Frank M. Napolitano, Kevin T. Seltzer, Martin C. Eltrich, III, Patrick M. Flanagan","Kevin M. Mansfield, Mark M. Harms, Robert L. Berner, III",585000000.0,585000000.0,Series D+,2014-05-30,,,,,
24 KT WINES LLC,Other,24ktwines.com,NEWPORT BEACH,CA,92660,(949) 214-4027,2012.0,13.0,"CRAIG D'ELLETO, DAN HOLLAND, KEGAN KLEIN, NICHOLAS COWHERD, THOMAS ROBERTS",,1500080.0,1500080.0,Pre-Seed,2014-07-03,,,,,
247 FOOTBALL LLC,Investing,247-football.com,NEW YORK,NY,10128,(646) 522-5461,2023.0,2.0,David Kirsch,,1000000.0,1000000.0,Pre-Seed,2024-12-19,,,,,
24M TECHNOLOGIES INC,Other,24mtechnologies.com,CAMBRIDGE,MA,2139,(617) 553-1012,,,Richard Feldt,"Chris Lange, Jeff McCarthy, Steven Cai, Surong Bulakul, Throop Wilder",21832220.0,21832220.0,Series B,2018-11-06,12.0,0.0,100.0,90000.0,['Simulation Engineer [00050316]']
25 ROSES INC,Other,,LOS ANGELES,CA,90046,(917) 589-9091,2019.0,6.0,"Alison Brettschneider, Barry Regenstein, Chris Ferrone, Raymond Jacomo",Andrew Brettschneider,2000000.0,2000000.0,Pre-Seed,2019-05-10,,,,,
2503 ARCADIA AT WESTHEIMER FUND LLC,Other,,QUINCY,IL,62305,(949) 296-7502,2024.0,1.0,"Merrill Dalling, Naval Sehgal, Teresa Loos-Tedrow",,,,,,,,,,
2507 AIRPORT LLC,Other,,GRANBURY,TX,76048,(949) 296-7502,2018.0,7.0,Siva Palchuru,,,,,,,,,,
2510 SOCO LLC,Lodging and Conventions,,AUSTIN,TX,78748,(773) 750-3706,2018.0,7.0,"David Krug, Jon Michelson, Martin Quander",,5000000.0,5000000.0,Series A,2018-05-14,,,,,
25MADISON LLC,Investing,25madison.com,NEW YORK,NY,10003,(914) 452-8000,2018.0,7.0,"Justine Lee, Matthew Fremont-Smith, Steven Price","Aaron Sobel, Gary Ginsberg, Kirk Posmantur, Lance West, Michael Lynton",45000000.0,25000000.0,Series B,2020-12-15,,,,,
26 BRIX LLC,Other,26-brix.com,CALISTOGA,CA,94515,(858) 756-5614,,,,"Bill Edward Cameron, Harry Edward Keys, Jim Edward Borsack, William Edward Reisler",1800000.0,1800000.0,Pre-Seed,2013-12-30,,,,,
2631 HARBOR COVE LLC,Other,,AUSTIN,TX,78704,(949) 296-7502,2022.0,3.0,"Christopher Gill, Lydia Zaidman",,,,,,,,,,
