onet_soc_code,bls_soc_code,title,description,job_zone,alternate_title_count,alternate_titles_sample,oews_year,employment,annual_mean_wage,annual_median_wage,hourly_mean_wage,hourly_median_wage,employment_prse,ability_originality_lv,ability_problem_sensitivity_lv,ability_deductive_reasoning_lv,ability_inductive_reasoning_lv,ability_selective_attention_lv,ability_oral_comprehension_lv,skill_programming_lv,skill_critical_thinking_lv,skill_judgment_decision_making_lv,skill_complex_problem_solving_lv,skill_systems_analysis_lv,skill_systems_evaluation_lv,skill_social_perceptiveness_lv,skill_active_listening_lv,skill_persuasion_lv,skill_instructing_lv,skill_service_orientation_lv,cognitive_pivot_score
11-3013.00,11-3013,Facilities Managers,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus.",3,29,Building Maintenance Superintendent; Building Manager; Building Services Supervisor; Conference Center Manager; Facilities Coordinator; Facilities Director; Facilities Electrical Engineer; Facilities Engineer,2024,141090.0,114520.0,104690.0,55.06,50.33,0.7,3.0,3.75,3.88,3.75,2.75,3.88,1.12,3.75,3.38,3.38,3.12,3.25,3.62,3.75,3.38,3.25,2.88,3.473
11-3013.01,11-3013,Security Managers,"Direct an organization's security functions, including physical security and safety of employees and facilities.",4,38,Chief Security Officer (CSO); Cloud Security Manager; Corporate Physical Security Supervisor; Corporate Security Director; Corporate Security Manager; Global Security Manager; Industrial Security Specialist; Internal Security Manager,2024,141090.0,114520.0,104690.0,55.06,50.33,0.7,3.62,4.75,4.0,3.88,3.5,4.0,0.88,4.12,3.75,4.0,3.12,3.25,3.75,4.0,3.5,3.12,3.25,3.832
11-3021.00,11-3021,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",4,58,Application Development Director; Chief Information Security Officer (CISO); Computer and Information Systems Manager; Computer Operations Manager; Computer Programming Manager; Computer Security Manager; Computer Systems Information Director; Computing Services Director,2024,645970.0,187990.0,171200.0,90.38,82.31,0.6,3.5,4.0,4.0,4.0,2.88,4.5,2.62,4.0,3.75,3.88,3.5,3.88,3.75,4.0,3.5,3.88,3.12,3.834
11-3031.00,11-3031,Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",4,59,Accountant Supervisor; Accounting Director; Accounting Manager; Accounting Supervisor; Accounts Manager; Accounts Payable Manager; Accounts Supervisor; Actuarial Manager,2024,818620.0,180470.0,161700.0,86.76,77.74,0.7,3.12,4.0,4.62,4.12,2.62,4.5,,4.25,3.88,3.88,,,3.75,4.38,3.75,3.38,3.62,3.981
11-3031.01,11-3031,Treasurers and Controllers,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.",4,23,City Comptroller; City Controller; City Treasurer; Comptroller; Controller; Corporate Controller; Corporate Treasurer; Cost Controller,2024,818620.0,180470.0,161700.0,86.76,77.74,0.7,3.5,4.62,4.62,4.38,2.62,4.12,1.0,4.75,4.62,4.38,4.25,4.25,3.62,4.25,3.75,3.12,2.75,4.374
11-3031.03,11-3031,Investment Fund Managers,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.",5,23,Annual Fund Manager; Asset Management Manager; Asset Management Project Manager; Asset Manager; Digital Asset Manager; Financial Planning and Analysis Finance Manager; Financial Planning and Analysis Manager; Financial Planning Director,2024,818620.0,180470.0,161700.0,86.76,77.74,0.7,3.5,4.25,4.38,4.12,3.25,4.38,,4.0,4.25,3.88,3.75,3.75,3.38,4.12,3.5,2.88,3.0,3.987
11-3051.00,11-3051,Industrial Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",4,47,Area Plant Manager; Assembly Manager; Bulk Plant Manager; Car Construction Superintendent; Concrete Mixing Plant Superintendent; Correctional Facility Industries Superintendent; Factory Manager; Factory Superintendent,2024,234380.0,129180.0,121440.0,62.11,58.39,0.6,3.88,4.12,4.25,4.0,3.12,4.25,0.75,4.0,4.38,3.88,3.88,3.75,3.88,4.0,3.62,3.62,3.12,4.016
11-3051.01,11-3051,Quality Control Systems Managers,"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.",4,19,Construction Quality Control Manager; Product Quality Director; Quality and Food Safety Manager; Quality and Process Improvement Manager; Quality Assurance Coordinator (QA Coordinator); Quality Assurance Director (QA Director); Quality Assurance Manager (QA Manager); Quality Assurance Supervisor (QA Supervisor),2024,234380.0,129180.0,121440.0,62.11,58.39,0.6,3.12,4.62,4.25,4.38,3.25,4.25,1.25,4.12,4.12,4.12,3.88,4.0,3.75,4.12,3.5,3.62,3.25,4.068
11-3051.02,11-3051,Geothermal Production Managers,Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.,3,13,Decommissioning Well Site Manager; Geothermal Operations Manager; Geothermal Plant Manager; Geothermal Product Manager; Geothermal Production Manager; Industrial Production Manager; Mitigation Supervisor; Plant Manager,2024,234380.0,129180.0,121440.0,62.11,58.39,0.6,3.25,4.12,4.0,3.38,3.25,4.38,1.25,3.88,3.62,3.62,3.62,3.75,3.62,3.62,3.38,3.5,3.0,3.693
11-3051.03,11-3051,Biofuels Production Managers,"Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures.",4,18,Biodiesel Operations Manager; Biodiesel Plant Manager; Biodiesel Plant Superintendent; Biofuels Operations Manager; Biofuels Plant Manager; Biofuels Plant Superintendent; Biofuels Production Manager; Ethanol Operations Manager,2024,234380.0,129180.0,121440.0,62.11,58.39,0.6,3.5,3.75,3.88,3.88,3.62,4.5,1.62,3.88,3.88,3.75,3.5,3.38,3.75,3.88,3.38,3.62,3.25,3.711
11-3051.04,11-3051,Biomass Power Plant Managers,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.",4,14,Biomass Plant Manager; Biomass Power Plant Manager; Biomass Power Plant Superintendent; Biomass Production Manager; Demand Generator Manager; Fuel Manager; Maintenance Manager; Maintenance Superintendent,2024,234380.0,129180.0,121440.0,62.11,58.39,0.6,3.12,4.62,4.25,4.0,3.12,4.12,0.88,4.0,3.88,3.75,3.75,3.75,3.62,3.88,3.25,3.5,2.75,3.902
11-3051.06,11-3051,Hydroelectric Production Managers,Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.,3,17,Demand Generation Manager; Generation Manager; Hydroelectric Generation Manager (Hydro Generation Manager); Hydroelectric Generation Supervisor (Hydro Generation Supervisor); Hydroelectric Plant Site Manager (Hydro Plant Site Manager); Hydroelectric Production Manager; Hydroelectric Station Chief; Hydroelectric Station Supervisor (Hydro Station Supervisor),2024,234380.0,129180.0,121440.0,62.11,58.39,0.6,3.25,4.12,3.88,3.75,3.38,4.25,1.38,4.0,3.88,3.75,3.38,3.5,3.62,4.0,3.5,3.88,3.38,3.723
11-3061.00,11-3061,Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.",4,25,Category Purchasing Manager; Commissary Superintendent; Commodity Manager; Contract Manager; Contracting Manager; Division Merchandise Manager (DMM); General Merchandise Manager; Materials Director,2024,81240.0,150630.0,139510.0,72.42,67.07,0.8,3.75,3.88,4.0,3.88,3.12,4.0,1.25,4.0,3.75,3.25,3.88,3.75,4.0,4.0,4.12,3.88,3.88,3.793
11-3071.00,11-3071,"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.",4,124,Aerial Planting and Cultivation Manager; Air Export Logistics Manager; Airport Manager; Ammunition Storage Superintendent; Area Manager; Auto Fleet Manager; Automotive Services Manager; Bridges Supervisor,2024,213000.0,116010.0,102010.0,55.77,49.05,0.8,3.25,3.75,3.75,3.5,3.0,3.75,1.12,3.62,3.5,3.62,3.5,3.5,3.38,3.88,3.62,3.38,3.12,3.554
11-3071.04,11-3071,Supply Chain Managers,"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory.",4,31,Auto Parts Manager (Automotive Parts Manager); Demand Planning Manager; Global Supply Chain Director; Global Supply Chain Manager; Inventory Control Supervisor; Inventory Manager; Inventory Supervisor; Logistics Supervisor,2024,213000.0,116010.0,102010.0,55.77,49.05,0.8,3.25,4.0,3.88,3.88,3.0,4.12,0.88,4.0,4.0,4.0,3.75,3.88,3.88,4.0,3.62,3.25,3.12,3.849
11-3111.00,11-3111,Compensation and Benefits Managers,"Plan, direct, or coordinate compensation and benefits activities of an organization.",4,27,Benefits Admin (Benefits Administrator); Benefits Advisor; Benefits Coordinator; Benefits Director; Benefits Manager; Compensation and Benefits Director; Compensation and Benefits Manager; Compensation Director,2024,20070.0,156230.0,140360.0,75.11,67.48,2.1,3.12,3.5,3.5,3.5,2.0,4.12,0.88,4.0,4.0,3.25,3.75,3.88,3.88,4.12,3.38,3.12,3.12,3.611
11-3121.00,11-3121,Human Resources Managers,"Plan, direct, or coordinate human resources activities and staff of an organization.",4,31,Diversity and Inclusion Director; Diversity Manager; Efficiency Manager; Employee Relations Manager; Employee Welfare Manager; Employment Manager; HR Admin Director (Human Resources Administration Director); HR Coordinator (Human Resources Coordinator),2024,215520.0,160480.0,140030.0,77.15,67.32,0.6,4.0,4.0,4.25,4.0,2.88,4.25,1.38,4.25,4.25,4.0,3.25,4.0,4.12,4.12,3.88,4.0,3.88,4.0
11-3131.00,11-3131,Training and Development Managers,"Plan, direct, or coordinate the training and development activities and staff of an organization.",4,39,Apprenticeship Consultant; Development Associate; Development Coordinator; Development Director; E-Learning Manager (Electronic Learning Manager); Education and Development Manager; Education and Training Manager; Employee Development Director,2024,44960.0,140590.0,127090.0,67.59,61.1,1.7,3.88,4.0,3.88,3.88,2.88,4.25,0.75,4.0,3.88,4.0,3.75,3.88,3.75,4.0,3.75,4.75,3.75,3.906
11-9013.00,11-9013,"Farmers, Ranchers, and Other Agricultural Managers","Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.",4,73,Accredited Farm Manager (AFM); Activation Manager; Agricultural Crop Farm Manager; Agricultural Manager; Agriculture Farmer; Agriculture Manager; Agronomy Manager; Agronomy Operations Manager,2024,5910.0,97240.0,87980.0,46.75,42.3,4.2,3.62,4.12,4.12,4.12,3.0,4.12,1.25,4.0,3.75,3.5,3.25,3.25,3.62,4.0,3.75,3.12,3.12,3.748
11-9021.00,11-9021,Construction Managers,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.",4,32,Bridges and Buildings Supervisor; Commercial Construction Project Manager; Commercial Construction Superintendent; Commercial Superintendent; Concrete Foreman; Construction Area Manager; Construction Coordinator; Construction Director,2024,348330.0,119660.0,106980.0,57.53,51.43,1.0,3.25,4.25,4.38,4.12,3.12,4.25,0.62,4.38,4.38,4.12,3.88,3.88,3.88,4.12,3.88,3.25,2.88,4.071
11-9031.00,11-9031,"Education and Childcare Administrators, Preschool and Daycare","Plan, direct, or coordinate academic or nonacademic activities of preschools or childcare centers and programs, including before- and after-school care.",4,39,After School Site Director; Art Coordinator; Assessment Coordinator; Before and After School Program Director; Before and After School Site Director; Center Administrator; Center Manager; Child Care Center Administrator,2024,71620.0,62640.0,56270.0,30.12,27.05,1.8,3.5,4.0,4.12,3.88,3.12,4.12,0.62,4.0,3.88,3.5,3.12,3.38,3.88,4.0,3.5,3.88,4.0,3.709
11-9032.00,11-9032,"Education Administrators, Kindergarten through Secondary","Plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools.",5,41,Academic Advisor; Assessment Coordinator; Athletic Coordinator; Athletic Director; Commission for the Blind Director; Curriculum and Instruction Superintendent; Curriculum Director; Education Supervisor,2024,319630.0,113360.0,104070.0,nan,nan,0.7,4.0,4.5,4.88,4.12,3.0,4.88,0.75,4.62,4.75,4.5,4.0,4.5,4.75,4.62,4.12,4.12,4.25,4.43
11-9033.00,11-9033,"Education Administrators, Postsecondary","Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges.",5,69,Academic Affairs Dean; Academic Affairs Director; Academic Affairs Vice President (Academic Affairs VP); Academic Coordinator; Academic Dean; Academic Vice President (Academic VP); Administration Dean; Admissions Coordinator,2024,176420.0,124450.0,103960.0,59.83,49.98,0.3,4.0,3.88,4.0,4.12,3.0,4.88,0.5,4.25,4.0,4.0,3.75,3.75,4.0,4.25,3.75,4.0,3.88,3.972
11-9039.00,11-9039,"Education Administrators, All Other",All education administrators not listed separately.,,27,Apprenticeship Consultant; Apprenticeship Representative; Area Supervisor; Attache; Community Health Nursing Educational Director; Correctional Institution Education Supervisor; Director of Extension Work; Director of Health Education,2024,53330.0,99460.0,89040.0,47.82,42.81,1.9,,,,,,,,,,,,,,,,,,
11-9041.00,11-9041,Architectural and Engineering Managers,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.",5,33,Architect Manager; Architectural Project Manager; Civil Engineering Manager; Civil Project Manager (Civil PM); Data Engineering Director; Data Engineering Manager; Electrical Engineering Director; Electrical Engineering Manager,2024,210340.0,175710.0,167740.0,84.48,80.64,0.8,4.0,4.12,4.25,4.25,3.25,4.75,1.12,4.25,4.25,4.25,3.62,3.25,3.62,4.0,3.75,3.75,3.25,4.027
11-9041.01,11-9041,Biofuels/Biodiesel Technology and Product Development Managers,"Define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential.",4,18,Analytical Research Program Manager; Biodiesel Division Manager; Biodiesel Engineering Manager; Biodiesel Product Development Manager; Biodiesel Product Manager; Biodiesel Technology Development Manager; Biodiesel Technology Manager; Biofuels Engineering Manager,2024,210340.0,175710.0,167740.0,84.48,80.64,0.8,4.12,4.0,4.38,4.12,3.38,4.25,1.38,4.12,3.88,3.88,3.5,3.5,3.12,3.62,3.38,3.25,2.88,3.944
11-9051.00,11-9051,Food Service Managers,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages.",2,45,Banquet Director; Banquet Manager; Cafe Operator; Cafeteria Director; Cafeteria Manager; Cafeteria Operator; Catering Coordinator; Catering Director,2024,244230.0,72370.0,65310.0,34.79,31.4,1.6,3.0,3.88,3.75,3.0,2.88,4.0,0.5,3.75,3.0,3.0,3.0,3.12,3.88,3.5,3.12,3.0,3.75,3.278
11-9071.00,11-9071,Gambling Managers,"Plan, direct, or coordinate gambling operations in a casino. May formulate house rules.",2,33,Baccarat Manager; Bingo Manager; Blackjack Manager; Cage Manager; Cage Shift Manager; Card Room Manager; Casino Manager; Casino Operations Manager,2024,4620.0,102480.0,85580.0,49.27,41.14,2.2,2.88,4.0,3.75,3.75,3.5,4.0,0.88,4.0,3.62,3.12,3.0,3.0,4.0,3.75,3.62,3.62,3.75,3.458
11-9072.00,11-9072,"Entertainment and Recreation Managers, Except Gambling","Plan, direct, or coordinate entertainment and recreational activities and operations of a recreational facility, including cruise ships and parks.",4,58,Activities Manager; Amusement Park Manager; Aquatics Director; Aquatics Manager; Boat Club Manager; Camp and Recreation Manager; Camp Director; Club Director,2024,36700.0,87060.0,77180.0,41.86,37.11,2.0,3.38,3.75,3.75,3.5,3.0,3.88,0.5,3.75,3.5,2.88,3.0,3.12,3.75,4.0,3.62,3.62,3.75,3.403
11-9081.00,11-9081,Lodging Managers,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.",4,48,Accommodations General Manager; Accommodations Manager; Agricultural Labor Camp Manager; Apartment Coordinator; Bed and Breakfast Innkeeper; Boardinghouse Keeper; Camp Director; Campground Manager,2024,41350.0,77460.0,68130.0,37.24,32.76,2.7,3.62,3.75,3.88,3.25,3.12,4.0,0.88,3.88,3.75,3.25,3.0,3.5,3.88,4.0,4.0,3.75,4.12,3.542
11-9111.00,11-9111,Medical and Health Services Managers,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.",4,95,Assisted Living Administrator; Assisted Living Manager; Cancer Center Director; Care Coordinator; Client Services Director; Clinic Director; Clinical Director; Clinical Informatics Director,2024,565840.0,137730.0,117960.0,66.22,56.71,0.5,3.75,4.0,4.0,4.0,3.0,4.88,1.38,4.12,4.0,3.5,3.38,3.88,4.0,4.12,4.0,3.88,3.75,3.848
11-9121.00,11-9121,Natural Sciences Managers,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.",5,34,Agricultural Research Director; Agriculture Research Director; Analytical Services Manager; Chemical Engineer Supervisor; Chemical Plant Technical Director; Chemical Process Exploration Manager; Clinical Project Manager; Clinical Trials Manager,2024,100870.0,173500.0,161180.0,83.41,77.49,1.6,3.88,4.12,5.0,4.88,2.88,4.88,1.62,4.38,4.12,4.25,3.88,3.88,3.88,4.75,3.75,3.88,2.88,4.266
11-9121.01,11-9121,Clinical Research Coordinators,"Plan, direct, or coordinate clinical research projects. Direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. May evaluate and analyze clinical data.",4,22,Clinical Coordinator; Clinical Data Coordinator; Clinical Manager; Clinical Program Coordinator; Clinical Program Manager; Clinical Project Manager; Clinical Research Administrator; Clinical Research Coordinator,2024,100870.0,173500.0,161180.0,83.41,77.49,1.6,3.0,4.0,4.0,3.88,2.88,4.38,0.88,4.0,3.62,3.62,2.88,3.38,3.75,4.0,3.25,3.0,3.75,3.598
11-9121.02,11-9121,Water Resource Specialists,"Design or implement programs and strategies related to water resource issues such as supply, quality, and regulatory compliance issues.",4,14,Community Resource Consultant; Environmental Resource Specialist; Hydrotechnical Specialist; Hydrotechnician; Power Supply Engineer; Resource Specialist; Water Quality Specialist; Water Resource Agent,2024,100870.0,173500.0,161180.0,83.41,77.49,1.6,3.5,3.88,4.12,4.12,3.0,4.0,1.5,4.0,3.88,4.12,4.0,3.88,3.62,4.0,3.5,3.25,3.0,3.944
11-9131.00,11-9131,Postmasters and Mail Superintendents,"Plan, direct, or coordinate operational, administrative, management, and support services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.",2,15,Delivery Supervisor; Distribution Operation Supervisor (SDO); Distribution Operations Manager; Distribution Operations Supervisor; Mail Delivery Supervisor; Mail Superintendent; Order to Delivery Supervisor; Postal Service Sectional Center Manager,2024,13810.0,93760.0,92730.0,45.08,44.58,0.0,3.0,3.38,3.25,3.12,2.88,3.88,0.88,3.88,3.12,3.12,3.0,3.0,3.5,3.38,3.5,3.25,3.12,3.208
11-9141.00,11-9141,"Property, Real Estate, and Community Association Managers","Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way).",4,64,Apartment Community Manager; Apartment House Manager; Apartment Manager; Apartment Property Manager; Building Rental Manager; Building Rental Superintendent; Building Superintendent; Cemetery Manager,2024,296640.0,82720.0,66700.0,39.77,32.07,1.8,2.88,3.5,3.88,3.5,2.75,4.12,0.5,3.88,3.38,3.12,2.12,2.12,3.38,4.0,3.5,3.12,3.0,3.153
11-9151.00,11-9151,Social and Community Service Managers,"Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers.",4,69,Adoption Services Manager; Adult Daycare Coordinator; Borough Coordinator; Case Manager; Case Services Manager; Casework Department Director; Casework Director; Casework Services Director,2024,195490.0,86100.0,78240.0,41.39,37.61,1.1,3.75,4.0,4.12,3.88,3.0,4.62,0.88,4.12,4.12,4.12,3.75,3.88,4.62,4.25,3.75,3.88,4.0,3.971
11-9161.00,11-9161,Emergency Management Directors,"Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations.",4,23,911 Communications Manager; Change Management Specialist; Civil Defense Director; Civil Preparedness Officer; Disaster Response Director; Emergency Management Coordinator; Emergency Management Director; Emergency Management Planner,2024,12570.0,97700.0,86130.0,46.97,41.41,1.3,4.12,4.75,4.25,4.25,3.0,4.62,0.5,4.38,4.25,5.38,4.12,4.12,4.12,4.12,4.0,4.12,5.25,4.402
11-9171.00,11-9171,Funeral Home Managers,"Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes.",3,15,Advanced Planning Director; Arranging Funeral Director; Funeral Counselor; Funeral Director; Funeral Home Director; Funeral Home GM (Funeral Home General Manager); Funeral Home Location Manager; Funeral Home Manager,2024,13120.0,85650.0,76830.0,41.18,36.94,1.9,2.88,3.62,3.12,3.0,2.25,4.0,0.62,3.62,3.12,3.0,2.38,2.75,3.75,3.88,3.5,3.0,4.0,3.054
11-9179.00,11-9179,"Personal Service Managers, All Other",All personal service managers not listed separately.,,1,Travel Agency Manager,2024,10490.0,70620.0,61340.0,33.95,29.49,5.5,,,,,,,,,,,,,,,,,,
